case	unit	budget	geometry
BAK1+TMSB4X	Norman_pooled_screen	d16	0.011505617022088228
BAK1+TMSB4X	Norman_pooled_screen	d32	0.0058005079222384097
BAK1+TMSB4X	Norman_pooled_screen	d64	0.0028792466883020358
BAK1+TMSB4X	Norman_pooled_screen	d128	0.0014380482443949827
BAK1+TMSB4X	Norman_pooled_screen	d135	0.0013661210416796598
UBASH3B+ZBTB25	Norman_pooled_screen	d8	0.023078322436158556
UBASH3B+ZBTB25	Norman_pooled_screen	d16	0.011505617022088228
UBASH3B+ZBTB25	Norman_pooled_screen	d32	0.0058005079222384097
UBASH3B+ZBTB25	Norman_pooled_screen	d64	0.0028792466883020358
UBASH3B+ZBTB25	Norman_pooled_screen	d128	0.0014380482443949827
UBASH3B+ZBTB25	Norman_pooled_screen	d135	0.0013661210416796598
CEBPE+SPI1	Norman_pooled_screen	d8	0.023078322436158556
CEBPE+SPI1	Norman_pooled_screen	d16	0.011505617022088228
CEBPE+SPI1	Norman_pooled_screen	d32	0.0058005079222384097
CEBPE+SPI1	Norman_pooled_screen	d64	0.0028792466883020358
CEBPE+SPI1	Norman_pooled_screen	d128	0.0014380482443949827
CEBPE+SPI1	Norman_pooled_screen	d135	0.0013661210416796598
