depth_per_gemgroup	cells_per_reference	model	pattern	mean	allocation_min	allocation_max
135	1080	additive	D	0.0280166618584415	0.027889682034660402	0.02822705038539438
135	1080	compositional_ridge	S	0.025403931071276635	0.025403931071276635	0.025403931071276635
135	1080	compositional_ridge	M	0.025403931071276635	0.025403931071276635	0.025403931071276635
135	1080	compositional_ridge	P	0.027225425793516184	0.027098445969735086	0.027435814320469064
135	1080	compositional_ridge	O	0.027225425793516184	0.027098445969735086	0.027435814320469064
135	1080	compositional_ridge	D	0.027225425793516184	0.027098445969735086	0.027435814320469064
135	1080	CPA_0.8.8	S	0.092307639780471684	0.091649332475246661	0.092881120222065697
135	1080	CPA_0.8.8	M	0.092307639780471684	0.091649332475246648	0.092881120222065683
135	1080	CPA_0.8.8	P	0.094300676968895131	0.093551040082648307	0.095031859230796337
135	1080	CPA_0.8.8	O	0.093957592036527343	0.093280525624711896	0.094487860850614919
135	1080	CPA_0.8.8	D	0.094129134502711237	0.093437867495712201	0.094757960287111198
135	1080	zero_effect	S	0.10321169051557444	0.102567922411659	0.10377728402331596
135	1080	zero_effect	M	0.10321169051557443	0.102567922411659	0.10377728402331596
135	1080	zero_effect	P	0.10321169051557443	0.102567922411659	0.10377728402331596
135	1080	zero_effect	O	0.10321169051557443	0.102567922411659	0.10377728402331596
135	1080	zero_effect	D	0.10321169051557443	0.102567922411659	0.10377728402331596
