condition	depth_per_gemgroup	model_a	model_b	pair_role	pattern	S_margin	margin	displacement	crossing_allocation_count	n_allocations	strict_crossing_after_allocation_mean
BAK1+KLF1	64	additive	zero_effect	zero_effect_diagnostic	P	0.028131446302336608	0.024292450717933893	-0.003838995584402716	0	30	False
BAK1+KLF1	64	additive	zero_effect	zero_effect_diagnostic	O	0.028131446302336608	0.024292450717933893	-0.003838995584402716	0	30	False
BAK1+KLF1	64	additive	zero_effect	zero_effect_diagnostic	D	0.028131446302336608	0.024292450717933893	-0.003838995584402716	0	30	False
BAK1+KLF1	128	additive	zero_effect	zero_effect_diagnostic	S	0.027129018547027796	0.027129018547027796	0.0	0	30	False
BAK1+KLF1	128	additive	zero_effect	zero_effect_diagnostic	M	0.027129018547027796	0.027129018547027796	4.625929269271486e-19	0	30	False
BAK1+KLF1	128	additive	zero_effect	zero_effect_diagnostic	P	0.027129018547027796	0.02521162088783448	-0.0019173976591933108	0	30	False
BAK1+KLF1	128	additive	zero_effect	zero_effect_diagnostic	O	0.027129018547027796	0.02521162088783448	-0.0019173976591933108	0	30	False
BAK1+KLF1	128	additive	zero_effect	zero_effect_diagnostic	D	0.027129018547027796	0.02521162088783448	-0.0019173976591933108	0	30	False
BAK1+KLF1	135	additive	zero_effect	zero_effect_diagnostic	S	0.02710425276841368	0.02710425276841368	0.0	0	30	False
BAK1+KLF1	135	additive	zero_effect	zero_effect_diagnostic	M	0.02710425276841368	0.02710425276841368	0.0	0	30	False
BAK1+KLF1	135	additive	zero_effect	zero_effect_diagnostic	P	0.02710425276841368	0.025282758046174133	-0.0018214947222395471	0	30	False
BAK1+KLF1	135	additive	zero_effect	zero_effect_diagnostic	O	0.02710425276841368	0.025282758046174133	-0.0018214947222395471	0	30	False
BAK1+KLF1	135	additive	zero_effect	zero_effect_diagnostic	D	0.02710425276841368	0.025282758046174133	-0.0018214947222395471	0	30	False
BAK1+KLF1	8	compositional_ridge	CPA_0.8.8	primary_state_pair	S	0.015928281466155245	0.015928281466155245	0.0	0	30	False
BAK1+KLF1	8	compositional_ridge	CPA_0.8.8	primary_state_pair	M	0.015928281466155245	0.015928281466155245	-3.0068540250264657e-18	0	30	False
BAK1+KLF1	8	compositional_ridge	CPA_0.8.8	primary_state_pair	P	0.015928281466155245	0.018938052393633928	0.00300977092747868	0	30	False
BAK1+KLF1	8	compositional_ridge	CPA_0.8.8	primary_state_pair	O	0.015928281466155245	0.012918510538676561	-0.0030097709274786856	0	30	False
BAK1+KLF1	8	compositional_ridge	CPA_0.8.8	primary_state_pair	D	0.015928281466155245	0.015928281466155245	-2.3129646346357427e-18	0	30	False
BAK1+KLF1	16	compositional_ridge	CPA_0.8.8	primary_state_pair	S	0.014953420309607163	0.014953420309607163	0.0	0	30	False
BAK1+KLF1	16	compositional_ridge	CPA_0.8.8	primary_state_pair	M	0.014953420309607163	0.014953420309607161	-3.122502256758253e-18	0	30	False
BAK1+KLF1	16	compositional_ridge	CPA_0.8.8	primary_state_pair	P	0.014953420309607163	0.0164327659501012	0.0014793456404940382	0	30	False
BAK1+KLF1	16	compositional_ridge	CPA_0.8.8	primary_state_pair	O	0.014953420309607163	0.013474074669113122	-0.0014793456404940428	0	30	False
BAK1+KLF1	16	compositional_ridge	CPA_0.8.8	primary_state_pair	D	0.014953420309607163	0.014953420309607163	-1.3877787807814458e-18	0	30	False
BAK1+KLF1	32	compositional_ridge	CPA_0.8.8	primary_state_pair	S	0.014863838908505277	0.014863838908505277	0.0	0	30	False
BAK1+KLF1	32	compositional_ridge	CPA_0.8.8	primary_state_pair	M	0.014863838908505277	0.014863838908505273	-3.23815048849004e-18	0	30	False
BAK1+KLF1	32	compositional_ridge	CPA_0.8.8	primary_state_pair	P	0.014863838908505277	0.015625698723269292	0.0007618598147640145	0	30	False
BAK1+KLF1	32	compositional_ridge	CPA_0.8.8	primary_state_pair	O	0.014863838908505277	0.014101979093741258	-0.000761859814764018	0	30	False
BAK1+KLF1	32	compositional_ridge	CPA_0.8.8	primary_state_pair	D	0.014863838908505277	0.014863838908505273	-2.1973164029039556e-18	0	30	False
BAK1+KLF1	64	compositional_ridge	CPA_0.8.8	primary_state_pair	S	0.01475064135279206	0.01475064135279206	0.0	0	30	False
BAK1+KLF1	64	compositional_ridge	CPA_0.8.8	primary_state_pair	M	0.01475064135279206	0.014750641352792056	-3.23815048849004e-18	0	30	False
BAK1+KLF1	64	compositional_ridge	CPA_0.8.8	primary_state_pair	P	0.01475064135279206	0.015104238417027646	0.0003535970642355859	0	30	False
BAK1+KLF1	64	compositional_ridge	CPA_0.8.8	primary_state_pair	O	0.01475064135279206	0.014397044288556472	-0.0003535970642355903	0	30	False
BAK1+KLF1	64	compositional_ridge	CPA_0.8.8	primary_state_pair	D	0.01475064135279206	0.014750641352792058	-2.544261098099317e-18	0	30	False
BAK1+KLF1	128	compositional_ridge	CPA_0.8.8	primary_state_pair	S	0.0146073663173921	0.0146073663173921	0.0	0	30	False
BAK1+KLF1	128	compositional_ridge	CPA_0.8.8	primary_state_pair	M	0.0146073663173921	0.014607366317392097	-3.469446951953614e-18	0	30	False
BAK1+KLF1	128	compositional_ridge	CPA_0.8.8	primary_state_pair	P	0.0146073663173921	0.014784924655786362	0.0001775583383942615	0	30	False
BAK1+KLF1	128	compositional_ridge	CPA_0.8.8	primary_state_pair	O	0.0146073663173921	0.014429807978997837	-0.0001775583383942645	0	30	False
BAK1+KLF1	128	compositional_ridge	CPA_0.8.8	primary_state_pair	D	0.0146073663173921	0.014607366317392099	-1.908195823574488e-18	0	30	False
BAK1+KLF1	135	compositional_ridge	CPA_0.8.8	primary_state_pair	S	0.014637962050581965	0.014637962050581965	0.0	0	30	False
BAK1+KLF1	135	compositional_ridge	CPA_0.8.8	primary_state_pair	M	0.014637962050581965	0.014637962050581961	-3.469446951953614e-18	0	30	False
BAK1+KLF1	135	compositional_ridge	CPA_0.8.8	primary_state_pair	P	0.014637962050581965	0.014809750628891748	0.0001717885783097832	0	30	False
BAK1+KLF1	135	compositional_ridge	CPA_0.8.8	primary_state_pair	O	0.014637962050581965	0.014466173472272177	-0.0001717885783097877	0	30	False
