depth_per_gemgroup	model	pattern	mean_utility	allocation_min_utility	allocation_max_utility
64	zero_effect	P	-0.10416566998074095	-0.10790309054873151	-0.10252134725090012
64	zero_effect	O	-0.10416566998074095	-0.10790309054873151	-0.10252134725090012
64	zero_effect	D	-0.10416566998074095	-0.10790309054873151	-0.10252134725090012
128	additive	S	-0.026195167136201958	-0.026195167136201958	-0.026195167136201958
128	additive	M	-0.026195167136201958	-0.026195167136201958	-0.026195167136201958
128	additive	P	-0.028112564795395263	-0.028354995313651744	-0.027981185867986303
128	additive	O	-0.028112564795395263	-0.028354995313651744	-0.027981185867986303
128	additive	D	-0.028112564795395263	-0.028354995313651744	-0.027981185867986303
128	compositional_ridge	S	-0.025403931071276625	-0.025403931071276635	-0.025403931071276635
128	compositional_ridge	M	-0.025403931071276625	-0.025403931071276635	-0.025403931071276635
128	compositional_ridge	P	-0.027321328730469947	-0.027563759248726415	-0.027189949803060998
128	compositional_ridge	O	-0.027321328730469947	-0.027563759248726415	-0.027189949803060998
128	compositional_ridge	D	-0.027321328730469947	-0.027563759248726415	-0.027189949803060998
128	CPA_0.8.8	S	-0.09241650263995349	-0.09334493640070249	-0.0913347316910704
128	CPA_0.8.8	M	-0.09241650263995349	-0.09334493640070249	-0.0913347316910704
128	CPA_0.8.8	P	-0.09451135693016299	-0.0954352734809241	-0.0934667511680495
128	CPA_0.8.8	O	-0.09415644366813064	-0.09501995258967956	-0.09305787151346193
128	CPA_0.8.8	D	-0.0943339002991468	-0.09522761303530183	-0.09326231134075572
128	zero_effect	S	-0.10337293805400868	-0.10432719372603638	-0.10226445598301483
128	zero_effect	M	-0.10337293805400868	-0.10432719372603638	-0.10226445598301483
128	zero_effect	P	-0.10337293805400868	-0.10432719372603638	-0.10226445598301483
128	zero_effect	O	-0.10337293805400868	-0.10432719372603638	-0.10226445598301483
128	zero_effect	D	-0.10337293805400868	-0.10432719372603638	-0.10226445598301483
135	additive	S	-0.026195167136201958	-0.026195167136201958	-0.026195167136201958
135	additive	M	-0.026195167136201958	-0.026195167136201958	-0.026195167136201958
135	additive	P	-0.028016661858441497	-0.02822705038539438	-0.027889682034660402
135	additive	O	-0.028016661858441497	-0.02822705038539438	-0.027889682034660402
135	additive	D	-0.028016661858441497	-0.02822705038539438	-0.027889682034660402
135	compositional_ridge	S	-0.025403931071276625	-0.025403931071276635	-0.025403931071276635
135	compositional_ridge	M	-0.025403931071276625	-0.025403931071276635	-0.025403931071276635
135	compositional_ridge	P	-0.02722542579351618	-0.027435814320469064	-0.027098445969735086
135	compositional_ridge	O	-0.02722542579351618	-0.027435814320469064	-0.027098445969735086
135	compositional_ridge	D	-0.02722542579351618	-0.027435814320469064	-0.027098445969735086
135	CPA_0.8.8	S	-0.09230763978047168	-0.0928811202220657	-0.09164933247524666
135	CPA_0.8.8	M	-0.09230763978047166	-0.09288112022206568	-0.09164933247524665
135	CPA_0.8.8	P	-0.09430067696889512	-0.09503185923079634	-0.0935510400826483
135	CPA_0.8.8	O	-0.09395759203652734	-0.09448786085061492	-0.0932805256247119
135	CPA_0.8.8	D	-0.09412913450271124	-0.0947579602871112	-0.0934378674957122
135	zero_effect	S	-0.10321169051557444	-0.10377728402331596	-0.102567922411659
135	zero_effect	M	-0.10321169051557444	-0.10377728402331596	-0.102567922411659
135	zero_effect	P	-0.10321169051557444	-0.10377728402331596	-0.102567922411659
135	zero_effect	O	-0.10321169051557444	-0.10377728402331596	-0.102567922411659
135	zero_effect	D	-0.10321169051557444	-0.10377728402331596	-0.102567922411659
