dataset	regime	depth	policy_code	family	utility
parse	common48	16	M	CellOT	-0.027532077428676624
parse	common48	16	P	NC	-0.06439464414952933
parse	common48	16	P	CM	-0.07035665244309736
parse	common48	16	P	TW	-0.06619477722848943
parse	common48	16	P	PCA	-0.06620592108660744
parse	common48	16	P	RBF	-0.06354609296567634
parse	common48	16	P	scGen	-0.1287932651125428
parse	common48	16	P	CPA	-0.28110000077225017
parse	common48	16	P	CellOT	-0.1368453084186096
parse	common48	16	O	NC	-0.06439464414952933
parse	common48	16	O	CM	-0.07035665244309736
parse	common48	16	O	TW	-0.06619477722848943
parse	common48	16	O	PCA	-0.06620592108660744
parse	common48	16	O	RBF	-0.06354609296567634
parse	common48	16	O	scGen	-0.11465590530163951
parse	common48	16	O	CPA	-0.27101819047637016
parse	common48	16	O	CellOT	-0.12144534827937495
parse	common48	16	D	NC	-0.06439464414952933
parse	common48	16	D	CM	-0.07035665244309736
parse	common48	16	D	TW	-0.06619477722848943
parse	common48	16	D	PCA	-0.06620592108660744
parse	common48	16	D	RBF	-0.06354609296567634
parse	common48	16	D	scGen	-0.12172458520704511
parse	common48	16	D	CPA	-0.27605909562397357
parse	common48	16	D	CellOT	-0.12914532834893522
parse	common48	24	S	NC	-0.04745013329630618
parse	common48	24	S	CM	-0.05341834078107974
parse	common48	24	S	TW	-0.049255838187994956
parse	common48	24	S	PCA	-0.04926698160947003
parse	common48	24	S	RBF	-0.04660293630775523
parse	common48	24	S	scGen	-0.019086002660494227
parse	common48	24	S	CPA	-0.17312800633204103
parse	common48	24	S	CellOT	-0.026161536096760314
parse	common48	24	M	NC	-0.04745013329630618
parse	common48	24	M	CM	-0.05341834078107974
parse	common48	24	M	TW	-0.049255838187994956
parse	common48	24	M	PCA	-0.04926698160947003
parse	common48	24	M	RBF	-0.04660293630775522
parse	common48	24	M	scGen	-0.019086002660543347
parse	common48	24	M	CPA	-0.17312800633209544
parse	common48	24	M	CellOT	-0.02616153609681006
parse	common48	24	P	NC	-0.04745013329630618
parse	common48	24	P	CM	-0.05341834078107974
parse	common48	24	P	TW	-0.049255838187994956
parse	common48	24	P	PCA	-0.04926698160947003
parse	common48	24	P	RBF	-0.04660293630775522
parse	common48	24	P	scGen	-0.09155058619818844
parse	common48	24	P	CPA	-0.24423552714559174
parse	common48	24	P	CellOT	-0.0990464062839702
parse	common48	24	O	NC	-0.04745013329630618
parse	common48	24	O	CM	-0.05341834078107974
parse	common48	24	O	TW	-0.049255838187994956
parse	common48	24	O	PCA	-0.04926698160947003
parse	common48	24	O	RBF	-0.04660293630775522
parse	common48	24	O	scGen	-0.08210801366630252
parse	common48	24	O	CPA	-0.23750708006154256
parse	common48	24	O	CellOT	-0.08876326045305623
parse	common48	24	D	NC	-0.04745013329630618
parse	common48	24	D	CM	-0.05341834078107974
parse	common48	24	D	TW	-0.049255838187994956
parse	common48	24	D	PCA	-0.04926698160947003
parse	common48	24	D	RBF	-0.04660293630775522
parse	common48	24	D	scGen	-0.08682929993227696
parse	common48	24	D	CPA	-0.24087130360357273
parse	common48	24	D	CellOT	-0.09390483336854104
parse	common48	32	S	NC	-0.03898259334520259
parse	common48	32	S	CM	-0.04495251673327445
parse	common48	32	S	TW	-0.040789121438332764
parse	common48	32	S	PCA	-0.040800261672038686
parse	common48	32	S	RBF	-0.03813573562567685
parse	common48	32	S	scGen	-0.018570974842904934
parse	common48	32	S	CPA	-0.17246985722865704
parse	common48	32	S	CellOT	-0.025471434909618368
parse	common48	32	M	NC	-0.038982593345202585
parse	common48	32	M	CM	-0.04495251673327445
parse	common48	32	M	TW	-0.040789121438332764
parse	common48	32	M	PCA	-0.040800261672038686
parse	common48	32	M	RBF	-0.03813573562567685
parse	common48	32	M	scGen	-0.01857097484288061
parse	common48	32	M	CPA	-0.1724698572287019
parse	common48	32	M	CellOT	-0.02547143490958368
parse	common48	32	P	NC	-0.038982593345202585
parse	common48	32	P	CM	-0.04495251673327445
parse	common48	32	P	TW	-0.040789121438332764
parse	common48	32	P	PCA	-0.040800261672038686
parse	common48	32	P	RBF	-0.03813573562567685
parse	common48	32	P	scGen	-0.07292626026186141
parse	common48	32	P	CPA	-0.22580767629431703
parse	common48	32	P	CellOT	-0.08014132884637291
parse	common48	32	O	NC	-0.0389825933452026
parse	common48	32	O	CM	-0.04495251673327445
parse	common48	32	O	TW	-0.040789121438332764
parse	common48	32	O	PCA	-0.040800261672038686
parse	common48	32	O	RBF	-0.03813573562567685
parse	common48	32	O	scGen	-0.06584309300597302
parse	common48	32	O	CPA	-0.2207594417454601
parse	common48	32	O	CellOT	-0.07242894455488368
parse	common48	32	D	NC	-0.038982593345202585
parse	common48	32	D	CM	-0.04495251673327445
parse	common48	32	D	TW	-0.040789121438332764
parse	common48	32	D	PCA	-0.040800261672038686
parse	common48	32	D	RBF	-0.03813573562567685
parse	common48	32	D	scGen	-0.06938467663390334
parse	common48	32	D	CPA	-0.2232835590199037
parse	common48	32	D	CellOT	-0.07628513670061532
parse	common48	40	S	NC	-0.033902130644972425
parse	common48	40	S	CM	-0.03987210931099552
parse	common48	40	S	TW	-0.03570852553929638
parse	common48	40	S	PCA	-0.0357196642779748
parse	common48	40	S	RBF	-0.03305527295453516
parse	common48	40	S	scGen	-0.018261253773696785
parse	common48	40	S	CPA	-0.17206766887303526
parse	common48	40	S	CellOT	-0.025056645385818484
parse	common48	40	M	NC	-0.033902130644972425
parse	common48	40	M	CM	-0.039872109310995524
parse	common48	40	M	TW	-0.03570852553929638
parse	common48	40	M	PCA	-0.0357196642779748
parse	common48	40	M	RBF	-0.03305527295453516
parse	common48	40	M	scGen	-0.018261253773755905
parse	common48	40	M	CPA	-0.17206766887300637
parse	common48	40	M	CellOT	-0.025056645385860415
parse	common48	40	P	NC	-0.033902130644972425
parse	common48	40	P	CM	-0.039872109310995524
parse	common48	40	P	TW	-0.03570852553929638
parse	common48	40	P	PCA	-0.0357196642779748
parse	common48	40	P	RBF	-0.03305527295453516
parse	common48	40	P	scGen	-0.061746176012924744
parse	common48	40	P	CPA	-0.21474226739630092
parse	common48	40	P	CellOT	-0.06879249536584192
parse	common48	40	O	NC	-0.03390213064497243
parse	common48	40	O	CM	-0.039872109310995524
parse	common48	40	O	TW	-0.03570852553929638
parse	common48	40	O	PCA	-0.0357196642779748
parse	common48	40	O	RBF	-0.03305527295453516
parse	common48	40	O	scGen	-0.05608093972228724
parse	common48	40	O	CPA	-0.21069767853772214
parse	common48	40	O	CellOT	-0.06262540359358035
parse	common48	40	D	NC	-0.033902130644972425
parse	common48	40	D	CM	-0.039872109310995524
parse	common48	40	D	TW	-0.03570852553929638
parse	common48	40	D	PCA	-0.0357196642779748
parse	common48	40	D	RBF	-0.03305527295453516
parse	common48	40	D	scGen	-0.05891355786763482
parse	common48	40	D	CPA	-0.21271997296698672
parse	common48	40	D	CellOT	-0.06570894947973739
parse	common48	48	S	NC	-0.030515279084579364
parse	common48	48	S	CM	-0.03648560358651905
parse	common48	48	S	TW	-0.03232234166885576
parse	common48	48	S	PCA	-0.0323334785155219
parse	common48	48	S	RBF	-0.029668521436816888
parse	common48	48	S	scGen	-0.018056557837051367
parse	common48	48	S	CPA	-0.17180454710721216
parse	common48	48	S	CellOT	-0.02478212906633942
parse	common48	48	M	NC	-0.030515279084579364
parse	common48	48	M	CM	-0.03648560358651905
parse	common48	48	M	TW	-0.03232234166885577
parse	common48	48	M	PCA	-0.0323334785155219
parse	common48	48	M	RBF	-0.029668521436816888
parse	common48	48	M	scGen	-0.018056557837051287
parse	common48	48	M	CPA	-0.17180454710725215
parse	common48	48	M	CellOT	-0.02478212906634232
parse	common48	48	P	NC	-0.030515279084579364
parse	common48	48	P	CM	-0.03648560358651905
parse	common48	48	P	TW	-0.03232234166885577
parse	common48	48	P	PCA	-0.0323334785155219
parse	common48	48	P	RBF	-0.029668521436816888
parse	common48	48	P	scGen	-0.05429756336627134
parse	common48	48	P	CPA	-0.20736908955592892
parse	common48	48	P	CellOT	-0.06123260264101491
parse	common48	48	O	NC	-0.030515279084579364
parse	common48	48	O	CM	-0.03648560358651905
parse	common48	48	O	TW	-0.03232234166885577
parse	common48	48	O	PCA	-0.0323334785155219
parse	common48	48	O	RBF	-0.029668521436816888
parse	common48	48	O	scGen	-0.04957483383729986
parse	common48	48	O	CPA	-0.2039992861881201
parse	common48	48	O	CellOT	-0.05609093702114513
parse	common48	48	D	NC	-0.030515279084579364
parse	common48	48	D	CM	-0.03648560358651905
parse	common48	48	D	TW	-0.03232234166885577
parse	common48	48	D	PCA	-0.0323334785155219
parse	common48	48	D	RBF	-0.029668521436816888
parse	common48	48	D	scGen	-0.051936198601783494
parse	common48	48	D	CPA	-0.20568418787204992
parse	common48	48	D	CellOT	-0.05866176983108162
parse	common128	16	S	NC	-0.06439464414952933
parse	common128	16	S	CM	-0.06721308512966481
parse	common128	16	S	TW	-0.06494750393959613
parse	common128	16	S	PCA	-0.06494043772085291
parse	common128	16	S	RBF	-0.06263434771179872
parse	common128	16	S	scGen	-0.019603338192595934
parse	common128	16	S	CPA	-0.17570364782089504
parse	common128	16	S	CellOT	-0.02661424544218545
parse	common128	16	M	NC	-0.06439464414952933
parse	common128	16	M	CM	-0.06721308512966481
parse	common128	16	M	TW	-0.06494750393959613
parse	common128	16	M	PCA	-0.06494043772085291
parse	common128	16	M	RBF	-0.06263434771179872
parse	common128	16	M	scGen	-0.019603338192587163
parse	common128	16	M	CPA	-0.17570364782061187
parse	common128	16	M	CellOT	-0.026614245442159533
parse	common128	16	P	NC	-0.06439464414952933
parse	common128	16	P	CM	-0.06721308512966481
parse	common128	16	P	TW	-0.06494750393959613
parse	common128	16	P	PCA	-0.06494043772085291
parse	common128	16	P	RBF	-0.06263434771179872
parse	common128	16	P	scGen	-0.12802856288583114
parse	common128	16	P	CPA	-0.28341535251454225
parse	common128	16	P	CellOT	-0.13572673866734375
parse	common128	16	O	NC	-0.06439464414952933
parse	common128	16	O	CM	-0.06721308512966481
parse	common128	16	O	TW	-0.06494750393959613
