allocation	cells_per_role	pattern	mean_utility_improvement	improved_tasks	ties	worse_tasks
14	1024	S	0.01857101459313052	50	0	5
14	1024	M	0.01857101459313052	50	0	5
14	1024	P	0.018568500910488266	50	0	5
14	1024	O	0.018573528275772775	50	0	5
14	1024	D	0.01857101459313052	50	0	5
14	1080	S	0.018539918649435782	50	0	5
14	1080	M	0.018539918649435782	50	0	5
14	1080	P	0.01853515123699561	50	0	5
14	1080	O	0.01854468606187594	50	0	5
14	1080	D	0.018539918649435782	50	0	5
15	64	S	0.01771310144967303	50	0	5
15	64	M	0.01771310144967303	50	0	5
15	64	P	0.017449356619084182	50	0	5
15	64	O	0.01797684628026188	50	0	5
15	64	D	0.01771310144967303	50	0	5
15	128	S	0.018549611958950683	50	0	5
15	128	M	0.01854961195895068	50	0	5
15	128	P	0.0183559369844202	50	0	5
15	128	O	0.01874328693348117	50	0	5
15	128	D	0.01854961195895068	50	0	5
15	256	S	0.01878380541355457	50	0	5
15	256	M	0.018783805413554577	50	0	5
15	256	P	0.01873608138175939	50	0	5
15	256	O	0.01883152944534976	50	0	5
15	256	D	0.018783805413554566	50	0	5
15	512	S	0.01857225709904828	50	0	5
15	512	M	0.01857225709904828	50	0	5
15	512	P	0.018529476124717174	50	0	5
15	512	O	0.01861503807337938	50	0	5
15	512	D	0.018572257099048275	50	0	5
15	1024	S	0.01861138643710201	50	0	5
15	1024	M	0.01861138643710202	50	0	5
15	1024	P	0.018604812350477107	50	0	5
15	1024	O	0.01861796052372693	50	0	5
15	1024	D	0.01861138643710202	50	0	5
15	1080	S	0.0185726067466652	50	0	5
15	1080	M	0.0185726067466652	50	0	5
15	1080	P	0.018567188739172326	50	0	5
15	1080	O	0.018578024754158085	50	0	5
15	1080	D	0.0185726067466652	50	0	5
16	64	S	0.017574962086696188	50	0	5
16	64	M	0.01757496208669619	50	0	5
16	64	P	0.017140161156023338	49	0	6
16	64	O	0.018009763017369042	50	0	5
16	64	D	0.01757496208669619	50	0	5
16	128	S	0.019026820113288122	50	0	5
16	128	M	0.019026820113288115	50	0	5
16	128	P	0.01881434829658294	50	0	5
16	128	O	0.019239291929993296	50	0	5
16	128	D	0.019026820113288125	50	0	5
16	256	S	0.019060298083386752	50	0	5
16	256	M	0.019060298083386745	50	0	5
16	256	P	0.018996472412218853	50	0	5
16	256	O	0.01912412375455465	50	0	5
16	256	D	0.019060298083386742	50	0	5
16	512	S	0.01818869513044255	50	0	5
16	512	M	0.018188695130442543	50	0	5
16	512	P	0.018140462206205125	50	0	5
16	512	O	0.01823692805467996	50	0	5
16	512	D	0.01818869513044254	50	0	5
16	1024	S	0.018503437998992556	50	0	5
16	1024	M	0.01850343799899256	50	0	5
16	1024	P	0.018502392665234756	50	0	5
16	1024	O	0.018504483332750375	50	0	5
16	1024	D	0.01850343799899256	50	0	5
16	1080	S	0.018526070187913656	50	0	5
16	1080	M	0.018526070187913662	50	0	5
16	1080	P	0.01852152101000334	50	0	5
16	1080	O	0.01853061936582398	50	0	5
16	1080	D	0.018526070187913656	50	0	5
17	64	S	0.018056071748071535	51	0	4
17	64	M	0.018056071748071546	51	0	4
17	64	P	0.017640092848622613	50	0	5
17	64	O	0.018472050647520475	51	0	4
17	64	D	0.018056071748071542	51	0	4
17	128	S	0.017553605115751676	50	0	5
17	128	M	0.017553605115751676	50	0	5
17	128	P	0.017341603683172297	50	0	5
17	128	O	0.017765606548331047	50	0	5
17	128	D	0.017553605115751672	50	0	5
17	256	S	0.0185311587329358	50	0	5
17	256	M	0.0185311587329358	50	0	5
17	256	P	0.01838804746780068	50	0	5
17	256	O	0.01867426999807091	50	0	5
17	256	D	0.018531158732935794	50	0	5
17	512	S	0.018561717351244646	50	0	5
17	512	M	0.018561717351244646	50	0	5
17	512	P	0.018507517304312084	50	0	5
17	512	O	0.018615917398177216	50	0	5
17	512	D	0.01856171735124465	50	0	5
17	1024	S	0.018496134996451644	50	0	5
17	1024	M	0.018496134996451644	50	0	5
17	1024	P	0.01845734437980623	50	0	5
17	1024	O	0.018534925613097043	50	0	5
17	1024	D	0.018496134996451637	50	0	5
17	1080	S	0.018464106764924264	50	0	5
17	1080	M	0.018464106764924267	50	0	5
17	1080	P	0.01842470228826487	50	0	5
17	1080	O	0.018503511241583663	50	0	5
17	1080	D	0.018464106764924264	50	0	5
18	64	S	0.019332819374139238	50	0	5
18	64	M	0.019332819374139235	50	0	5
18	64	P	0.01938383015181133	50	0	5
18	64	O	0.019281808596467144	50	0	5
18	64	D	0.01933281937413923	50	0	5
18	128	S	0.018672699902816954	50	0	5
18	128	M	0.018672699902816954	50	0	5
18	128	P	0.018542183953777176	50	0	5
18	128	O	0.01880321585185673	50	0	5
18	128	D	0.018672699902816944	50	0	5
18	256	S	0.018839514909341496	50	0	5
18	256	M	0.018839514909341493	50	0	5
18	256	P	0.01880594332733514	50	0	5
18	256	O	0.018873086491347845	50	0	5
18	256	D	0.018839514909341493	50	0	5
18	512	S	0.018425414330178358	50	0	5
18	512	M	0.018425414330178354	50	0	5
18	512	P	0.018389909453552927	50	0	5
18	512	O	0.018460919206803785	50	0	5
18	512	D	0.018425414330178354	50	0	5
18	1024	S	0.018404270264311132	50	0	5
18	1024	M	0.018404270264311136	50	0	5
18	1024	P	0.018382699340426703	50	0	5
18	1024	O	0.018425841188195572	50	0	5
18	1024	D	0.018404270264311132	50	0	5
18	1080	S	0.018560344173252072	50	0	5
18	1080	M	0.018560344173252072	50	0	5
18	1080	P	0.018540443791241205	50	0	5
18	1080	O	0.018580244555262942	50	0	5
18	1080	D	0.018560344173252072	50	0	5
19	64	S	0.01938414012292557	52	0	3
19	64	M	0.019384140122925563	52	0	3
19	64	P	0.019161083444475355	50	0	5
19	64	O	0.019607196801375775	52	0	3
19	64	D	0.019384140122925574	52	0	3
19	128	S	0.01953505055819063	50	0	5
19	128	M	0.019535050558190627	50	0	5
19	128	P	0.01937473407190294	50	0	5
19	128	O	0.01969536704447833	52	0	3
19	128	D	0.019535050558190627	50	0	5
19	256	S	0.01940136587380136	50	0	5
19	256	M	0.019401365873801354	50	0	5
19	256	P	0.019316177205036728	50	0	5
19	256	O	0.019486554542566002	50	0	5
19	256	D	0.01940136587380136	50	0	5
19	512	S	0.01935189232092711	50	0	5
19	512	M	0.0193518923209271	50	0	5
19	512	P	0.019306489696526805	50	0	5
19	512	O	0.019397294945327406	50	0	5
19	512	D	0.0193518923209271	50	0	5
19	1024	S	0.018630254968067073	50	0	5
19	1024	M	0.018630254968067073	50	0	5
19	1024	P	0.018603856412766802	50	0	5
19	1024	O	0.018656653523367338	50	0	5
19	1024	D	0.018630254968067073	50	0	5
19	1080	S	0.01856583785144038	50	0	5
19	1080	M	0.018565837851440385	50	0	5
19	1080	P	0.018545033510945583	50	0	5
19	1080	O	0.01858664219193518	50	0	5
19	1080	D	0.01856583785144038	50	0	5
20	64	S	0.01890365843350435	50	0	5
20	64	M	0.018903658433504354	50	0	5
20	64	P	0.018730085655943463	50	0	5
20	64	O	0.019077231211065238	50	0	5
20	64	D	0.018903658433504358	50	0	5
20	128	S	0.01919182050276855	50	0	5
20	128	M	0.01919182050276855	50	0	5
20	128	P	0.019073038684409595	50	0	5
20	128	O	0.01931060232112751	50	0	5
20	128	D	0.019191820502768547	50	0	5
20	256	S	0.019078148895281262	50	0	5
20	256	M	0.019078148895281265	50	0	5
20	256	P	0.01895194714928153	50	0	5
20	256	O	0.01920435064128099	50	0	5
20	256	D	0.019078148895281262	50	0	5
20	512	S	0.018391102798640122	50	0	5
20	512	M	0.018391102798640122	50	0	5
20	512	P	0.01830142795381714	50	0	5
20	512	O	0.018480777643463106	50	0	5
20	512	D	0.018391102798640126	50	0	5
