view	depth	model	model_kind	metric	metric_direction	task_count	allocation_count	realizations_per_allocation	repeated_realizations	A_allocation	A_Cobs	A_Cpred	A_Cmodel	A_anchor_task_mean	B_repeated_task_mean	B_minimum_task_mean	B_maximum_task_mean	C_same_primary_mean	C_minus_B_same_primary	C_full_role_assignments_per_allocation	all_task_support
direct_state	32	additive	state	raw_RMSE	lower	55	30	3	90	0	unused	unused	0	0.0689669535513437	0.0689669535513437	0.0689669535513437	0.0689669535513437	0.0689669535513437	0	27	True
direct_state	32	additive	state	perturbation_centred_Pearson	higher	55	30	3	90	0	unused	unused	0	0.7960862159356358	0.7960862159356356	0.7960862159356358	0.7960862159356358	0.7960862159356356	0	27	True
direct_state	32	additive	state	centroid_accuracy	higher	55	30	3	90	0	unused	unused	0	0.9717171717171719	0.9717171717171719	0.9717171717171719	0.9717171717171719	0.9717171717171719	0	27	True
direct_state	32	compositional_ridge	state	standardized_MSE	lower	55	30	3	90	0	unused	unused	0	0.02540393107127663	0.02540393107127664	0.02540393107127663	0.02540393107127663	0.02540393107127664	0	27	True
direct_state	32	compositional_ridge	state	raw_RMSE	lower	55	30	3	90	0	unused	unused	0	0.06642597886538054	0.06642597886538053	0.06642597886538054	0.06642597886538054	0.06642597886538053	0	27	True
direct_state	32	compositional_ridge	state	perturbation_centred_Pearson	higher	55	30	3	90	0	unused	unused	0	0.7559513028323471	0.755951302832347	0.7559513028323471	0.7559513028323471	0.755951302832347	0	27	True
direct_state	32	compositional_ridge	state	centroid_accuracy	higher	55	30	3	90	0	unused	unused	0	0.88989898989899	0.8898989898989901	0.88989898989899	0.88989898989899	0.8898989898989901	0	27	True
direct_state	32	NC_native_effect	native_effect	standardized_MSE	lower	55	30	3	90	0	unused	unused	0	0.1030066224020455	0.1030066224020455	0.1030066224020455	0.1030066224020455	0.1030066224020455	0	27	True
direct_state	32	NC_native_effect	native_effect	raw_RMSE	lower	55	30	3	90	0	unused	unused	0	0.1403132029464746	0.1403132029464746	0.1403132029464746	0.1403132029464746	0.1403132029464746	0	27	True
direct_state	32	NC_native_effect	native_effect	perturbation_centred_Pearson	higher	55	30	3	90	0	unused	unused	0	-0.2492367657317343	-0.2492367657317343	-0.2492367657317343	-0.2492367657317343	-0.2492367657317343	0	27	True
direct_state	32	NC_native_effect	native_effect	centroid_accuracy	higher	55	30	3	90	0	unused	unused	0	0.4999999999999998	0.4999999999999999	0.4999999999999998	0.4999999999999998	0.4999999999999999	0	27	True
direct_state	32	native_effect_ridge	native_effect	standardized_MSE	lower	55	30	3	90	0	unused	unused	0	0.0210638960462991	0.0210638960462991	0.0210638960462991	0.0210638960462991	0.0210638960462991	0	27	True
direct_state	32	native_effect_ridge	native_effect	raw_RMSE	lower	55	30	3	90	0	unused	unused	0	0.06113431200647815	0.06113431200647815	0.06113431200647815	0.06113431200647815	0.06113431200647815	0	27	True
direct_state	32	native_effect_ridge	native_effect	perturbation_centred_Pearson	higher	55	30	3	90	0	unused	unused	0	0.7920092797151159	0.792009279715116	0.7920092797151159	0.7920092797151159	0.792009279715116	0	27	True
