view	pattern	depth	control_cells_per_block	controls_available	model	model_kind	metric	metric_direction	task_count	allocation_count	tuples_per_allocation	mean_score	undefined_values
direct_state	direct_state	135	1080	3240	compositional_ridge	state	centroid_accuracy	higher	55	30	3	0.8898989898989899	0
direct_state	direct_state	135	1080	3240	NC_native_effect	native_effect	standardized_MSE	lower	55	30	3	0.1030066224020455	0
direct_state	direct_state	135	1080	3240	NC_native_effect	native_effect	raw_RMSE	lower	55	30	3	0.1403132029464746	0
direct_state	direct_state	135	1080	3240	NC_native_effect	native_effect	perturbation_centred_Pearson	higher	55	30	3	-0.2492367657317343	0
direct_state	direct_state	135	1080	3240	NC_native_effect	native_effect	centroid_accuracy	higher	55	30	3	0.4999999999999998	0
direct_state	direct_state	135	1080	3240	native_effect_ridge	native_effect	standardized_MSE	lower	55	30	3	0.0210638960462991	0
direct_state	direct_state	135	1080	3240	native_effect_ridge	native_effect	raw_RMSE	lower	55	30	3	0.06113431200647815	0
direct_state	direct_state	135	1080	3240	native_effect_ridge	native_effect	perturbation_centred_Pearson	higher	55	30	3	0.7920092797151159	0
direct_state	direct_state	135	1080	3240	native_effect_ridge	native_effect	centroid_accuracy	higher	55	30	3	0.9636363636363636	0
reference_effect	S	8	64	192	selected_CPA	state	standardized_MSE	lower	55	30	3	0.07576020392300925	0
reference_effect	S	8	64	192	selected_CPA	state	raw_RMSE	lower	55	30	3	0.1188816706283087	0
reference_effect	S	8	64	192	selected_CPA	state	perturbation_centred_Pearson	higher	55	30	3	0.1094665347402726	0
reference_effect	S	8	64	192	selected_CPA	state	centroid_accuracy	higher	55	30	3	0.5609689487467264	0
reference_effect	S	8	64	192	original_CPA_fixed	state	standardized_MSE	lower	55	30	3	0.09275262305821323	0
reference_effect	S	8	64	192	original_CPA_fixed	state	raw_RMSE	lower	55	30	3	0.1315293332522501	0
reference_effect	S	8	64	192	original_CPA_fixed	state	perturbation_centred_Pearson	higher	55	30	3	-0.09991128464033494	0
reference_effect	S	8	64	192	original_CPA_fixed	state	centroid_accuracy	higher	55	30	3	0.5279461279461278	0
reference_effect	S	8	64	192	additive	state	standardized_MSE	lower	55	30	3	0.02619516713620195	0
reference_effect	S	8	64	192	additive	state	raw_RMSE	lower	55	30	3	0.0689669535513437	0
reference_effect	S	8	64	192	additive	state	perturbation_centred_Pearson	higher	55	30	3	0.7960862159356359	0
reference_effect	S	8	64	192	additive	state	centroid_accuracy	higher	55	30	3	0.9717171717171719	0
reference_effect	S	8	64	192	compositional_ridge	state	standardized_MSE	lower	55	30	3	0.02540393107127663	0
reference_effect	S	8	64	192	compositional_ridge	state	raw_RMSE	lower	55	30	3	0.06642597886538056	0
reference_effect	S	8	64	192	compositional_ridge	state	perturbation_centred_Pearson	higher	55	30	3	0.7559513028323471	0
reference_effect	S	8	64	192	compositional_ridge	state	centroid_accuracy	higher	55	30	3	0.8898989898989899	0
reference_effect	S	8	64	192	NC_native_effect	native_effect	standardized_MSE	lower	55	30	3	0.1182085068606604	0
reference_effect	S	8	64	192	NC_native_effect	native_effect	raw_RMSE	lower	55	30	3	0.1512482930663931	0
reference_effect	S	8	64	192	NC_native_effect	native_effect	perturbation_centred_Pearson	higher	55	30	3	-0.182771897139302	0
reference_effect	S	8	64	192	NC_native_effect	native_effect	centroid_accuracy	higher	55	30	3	0.5000000000000001	0
reference_effect	S	8	64	192	native_effect_ridge	native_effect	standardized_MSE	lower	55	30	3	0.03676121812602002	0
reference_effect	S	8	64	192	native_effect_ridge	native_effect	raw_RMSE	lower	55	30	3	0.08286401546341425	0
reference_effect	S	8	64	192	native_effect_ridge	native_effect	perturbation_centred_Pearson	higher	55	30	3	0.6745396829797263	0
reference_effect	S	8	64	192	native_effect_ridge	native_effect	centroid_accuracy	higher	55	30	3	0.9630976430976432	0
reference_effect	S	16	128	384	selected_CPA	state	standardized_MSE	lower	55	30	3	0.07512885011887463	0
reference_effect	S	16	128	384	selected_CPA	state	raw_RMSE	lower	55	30	3	0.118273241334605	0
reference_effect	S	16	128	384	selected_CPA	state	perturbation_centred_Pearson	higher	55	30	3	0.1101149373473323	0
reference_effect	S	16	128	384	selected_CPA	state	centroid_accuracy	higher	55	30	3	0.5605462027684249	0
reference_effect	S	16	128	384	original_CPA_fixed	state	standardized_MSE	lower	55	30	3	0.09275262305821323	0
reference_effect	S	16	128	384	original_CPA_fixed	state	raw_RMSE	lower	55	30	3	0.1315293332522501	0
reference_effect	S	16	128	384	original_CPA_fixed	state	perturbation_centred_Pearson	higher	55	30	3	-0.09991128464033494	0
reference_effect	S	16	128	384	original_CPA_fixed	state	centroid_accuracy	higher	55	30	3	0.5279461279461278	0
reference_effect	S	16	128	384	additive	state	standardized_MSE	lower	55	30	3	0.02619516713620195	0
reference_effect	S	16	128	384	additive	state	raw_RMSE	lower	55	30	3	0.0689669535513437	0
reference_effect	S	16	128	384	additive	state	perturbation_centred_Pearson	higher	55	30	3	0.7960862159356359	0
reference_effect	S	16	128	384	additive	state	centroid_accuracy	higher	55	30	3	0.9717171717171719	0
reference_effect	S	16	128	384	compositional_ridge	state	standardized_MSE	lower	55	30	3	0.02540393107127663	0
reference_effect	S	16	128	384	compositional_ridge	state	raw_RMSE	lower	55	30	3	0.06642597886538056	0
reference_effect	S	16	128	384	compositional_ridge	state	perturbation_centred_Pearson	higher	55	30	3	0.7559513028323471	0
reference_effect	S	16	128	384	compositional_ridge	state	centroid_accuracy	higher	55	30	3	0.8898989898989899	0
reference_effect	S	16	128	384	NC_native_effect	native_effect	standardized_MSE	lower	55	30	3	0.1107653690332751	0
reference_effect	S	16	128	384	NC_native_effect	native_effect	raw_RMSE	lower	55	30	3	0.146045743109557	0
reference_effect	S	16	128	384	NC_native_effect	native_effect	perturbation_centred_Pearson	higher	55	30	3	-0.2103975722972128	0
reference_effect	S	16	128	384	NC_native_effect	native_effect	centroid_accuracy	higher	55	30	3	0.5	0
reference_effect	S	16	128	384	native_effect_ridge	native_effect	standardized_MSE	lower	55	30	3	0.02901659703416727	0
reference_effect	S	16	128	384	native_effect_ridge	native_effect	raw_RMSE	lower	55	30	3	0.07310669970610681	0
reference_effect	S	16	128	384	native_effect_ridge	native_effect	perturbation_centred_Pearson	higher	55	30	3	0.723584461005209	0
reference_effect	S	16	128	384	native_effect_ridge	native_effect	centroid_accuracy	higher	55	30	3	0.9638720538720541	0
reference_effect	S	32	256	768	selected_CPA	state	standardized_MSE	lower	55	30	3	0.07415174351439684	0
reference_effect	S	32	256	768	selected_CPA	state	raw_RMSE	lower	55	30	3	0.1174470223397251	0
reference_effect	S	32	256	768	selected_CPA	state	perturbation_centred_Pearson	higher	55	30	3	0.1128228286677297	0
reference_effect	S	32	256	768	selected_CPA	state	centroid_accuracy	higher	55	30	3	0.5610063598952488	0
reference_effect	S	32	256	768	original_CPA_fixed	state	standardized_MSE	lower	55	30	3	0.09275262305821323	0
reference_effect	S	32	256	768	original_CPA_fixed	state	raw_RMSE	lower	55	30	3	0.1315293332522501	0
reference_effect	S	32	256	768	original_CPA_fixed	state	perturbation_centred_Pearson	higher	55	30	3	-0.09991128464033494	0
reference_effect	S	32	256	768	original_CPA_fixed	state	centroid_accuracy	higher	55	30	3	0.5279461279461278	0
reference_effect	S	32	256	768	additive	state	standardized_MSE	lower	55	30	3	0.02619516713620195	0
reference_effect	S	32	256	768	additive	state	raw_RMSE	lower	55	30	3	0.0689669535513437	0
reference_effect	S	32	256	768	additive	state	perturbation_centred_Pearson	higher	55	30	3	0.7960862159356359	0
reference_effect	S	32	256	768	additive	state	centroid_accuracy	higher	55	30	3	0.9717171717171719	0
reference_effect	S	32	256	768	compositional_ridge	state	standardized_MSE	lower	55	30	3	0.02540393107127663	0
reference_effect	S	32	256	768	compositional_ridge	state	raw_RMSE	lower	55	30	3	0.06642597886538056	0
reference_effect	S	32	256	768	compositional_ridge	state	perturbation_centred_Pearson	higher	55	30	3	0.7559513028323471	0
reference_effect	S	32	256	768	compositional_ridge	state	centroid_accuracy	higher	55	30	3	0.8898989898989899	0
reference_effect	S	32	256	768	NC_native_effect	native_effect	standardized_MSE	lower	55	30	3	0.1063217539165254	0
reference_effect	S	32	256	768	NC_native_effect	native_effect	raw_RMSE	lower	55	30	3	0.1428677959960617	0
reference_effect	S	32	256	768	NC_native_effect	native_effect	perturbation_centred_Pearson	higher	55	30	3	-0.2276909981274524	0
reference_effect	S	32	256	768	NC_native_effect	native_effect	centroid_accuracy	higher	55	30	3	0.4999999999999999	0
reference_effect	S	32	256	768	native_effect_ridge	native_effect	standardized_MSE	lower	55	30	3	0.02527927915981806	0
reference_effect	S	32	256	768	native_effect_ridge	native_effect	raw_RMSE	lower	55	30	3	0.06782854403821284	0
reference_effect	S	32	256	768	native_effect_ridge	native_effect	perturbation_centred_Pearson	higher	55	30	3	0.7529937377615149	0
reference_effect	S	32	256	768	native_effect_ridge	native_effect	centroid_accuracy	higher	55	30	3	0.9643284698840255	0
reference_effect	S	64	512	1536	selected_CPA	state	standardized_MSE	lower	55	30	3	0.07386127081926257	0
reference_effect	S	64	512	1536	selected_CPA	state	raw_RMSE	lower	55	30	3	0.1172198732261202	0
reference_effect	S	64	512	1536	selected_CPA	state	perturbation_centred_Pearson	higher	55	30	3	0.1146283221624346	0
reference_effect	S	64	512	1536	selected_CPA	state	centroid_accuracy	higher	55	30	3	0.5610549943883276	0
reference_effect	S	64	512	1536	original_CPA_fixed	state	standardized_MSE	lower	55	30	3	0.09275262305821323	0
reference_effect	S	64	512	1536	original_CPA_fixed	state	raw_RMSE	lower	55	30	3	0.1315293332522501	0
reference_effect	S	64	512	1536	original_CPA_fixed	state	perturbation_centred_Pearson	higher	55	30	3	-0.09991128464033494	0
reference_effect	S	64	512	1536	original_CPA_fixed	state	centroid_accuracy	higher	55	30	3	0.5279461279461278	0
reference_effect	S	64	512	1536	additive	state	standardized_MSE	lower	55	30	3	0.02619516713620195	0
reference_effect	S	64	512	1536	additive	state	raw_RMSE	lower	55	30	3	0.0689669535513437	0
reference_effect	S	64	512	1536	additive	state	perturbation_centred_Pearson	higher	55	30	3	0.7960862159356359	0
reference_effect	S	64	512	1536	additive	state	centroid_accuracy	higher	55	30	3	0.9717171717171719	0
reference_effect	S	64	512	1536	compositional_ridge	state	standardized_MSE	lower	55	30	3	0.02540393107127663	0
reference_effect	S	64	512	1536	compositional_ridge	state	raw_RMSE	lower	55	30	3	0.06642597886538056	0
reference_effect	S	64	512	1536	compositional_ridge	state	perturbation_centred_Pearson	higher	55	30	3	0.7559513028323471	0
reference_effect	S	64	512	1536	compositional_ridge	state	centroid_accuracy	higher	55	30	3	0.8898989898989899	0
reference_effect	S	64	512	1536	NC_native_effect	native_effect	standardized_MSE	lower	55	30	3	0.104165669980741	0
reference_effect	S	64	512	1536	NC_native_effect	native_effect	raw_RMSE	lower	55	30	3	0.1412667806279955	0
reference_effect	S	64	512	1536	NC_native_effect	native_effect	perturbation_centred_Pearson	higher	55	30	3	-0.2382410638886991	0
reference_effect	S	64	512	1536	NC_native_effect	native_effect	centroid_accuracy	higher	55	30	3	0.4999999999999999	0
reference_effect	S	64	512	1536	native_effect_ridge	native_effect	standardized_MSE	lower	55	30	3	0.02335250030810753	0
reference_effect	S	64	512	1536	native_effect_ridge	native_effect	raw_RMSE	lower	55	30	3	0.06490184633939293	0
reference_effect	S	64	512	1536	native_effect_ridge	native_effect	perturbation_centred_Pearson	higher	55	30	3	0.7696661675857172	0
reference_effect	S	64	512	1536	native_effect_ridge	native_effect	centroid_accuracy	higher	55	30	3	0.9647736625514404	0
reference_effect	S	128	1024	3072	selected_CPA	state	standardized_MSE	lower	55	30	3	0.07390979488926193	0
reference_effect	S	128	1024	3072	selected_CPA	state	raw_RMSE	lower	55	30	3	0.1172583457492626	0
reference_effect	S	128	1024	3072	selected_CPA	state	perturbation_centred_Pearson	higher	55	30	3	0.1148142501978335	0
reference_effect	S	128	1024	3072	selected_CPA	state	centroid_accuracy	higher	55	30	3	0.5609652076318741	0
