role	depth	model	model_kind	metric	metric_direction	task_count	allocation_count	directed_contrasts_per_allocation	total_task_mean_contrasts	mean_abs_task_score_change	minimum_task_mean_change	maximum_task_mean_change	mean_abs_task_mean_change	gap_0_positive_count	gap_0_negative_count	gap_0_within_count	gap_0p005_positive_count	gap_0p005_negative_count	gap_0p005_within_count	gap_0p01_positive_count	gap_0p01_negative_count	gap_0p01_within_count	gap_0p02_positive_count	gap_0p02_negative_count	gap_0p02_within_count
Cobs	64	compositional_ridge	state	perturbation_centred_Pearson	higher	55	30	54	1620	0.0459014365987158	-0.08235447674466834	0.08235447674466834	0.04320370226034524	810	810	0	651	651	318	570	570	480	540	540	540
Cobs	64	compositional_ridge	state	centroid_accuracy	higher	55	30	54	1620	0.009674523007854268	-0.01952861952861953	0.01952861952861953	0.00469135802469136	777	777	66	318	318	984	93	93	1434	0	0	1620
Cobs	64	NC_native_effect	native_effect	standardized_MSE	lower	55	30	54	1620	0.003227813372710258	-0.01000653836681525	0.01000653836681525	0.003016761326903912	810	810	0	189	189	1242	9	9	1602	0	0	1620
Cobs	64	NC_native_effect	native_effect	raw_RMSE	lower	55	30	54	1620	0.002273045657526977	-0.006467440417150931	0.006467440417150931	0.002067015901664458	810	810	0	63	63	1494	0	0	1620	0	0	1620
Cobs	64	NC_native_effect	native_effect	perturbation_centred_Pearson	higher	55	30	54	1620	0.01563979223433976	-0.01053995441544686	0.01053995441544686	0.002859010097755106	810	810	0	144	144	1332	18	18	1584	0	0	1620
Cobs	64	NC_native_effect	native_effect	centroid_accuracy	higher	55	30	54	1620	0.005028058361391793	0	0	0	0	0	1620	0	0	1620	0	0	1620	0	0	1620
Cobs	64	native_effect_ridge	native_effect	standardized_MSE	lower	55	30	54	1620	0.0009957682822879174	-0.0008606234331181442	0.0008606234331181442	0.0002391453828562166	810	810	0	0	0	1620	0	0	1620	0	0	1620
Cobs	64	native_effect_ridge	native_effect	raw_RMSE	lower	55	30	54	1620	0.001466772410718721	-0.001484814857066668	0.001484814857066668	0.0004120978357331575	810	810	0	0	0	1620	0	0	1620	0	0	1620
Cobs	64	native_effect_ridge	native_effect	perturbation_centred_Pearson	higher	55	30	54	1620	0.007157417188910532	-0.005312437633349426	0.005312437633349426	0.001537059979435998	810	810	0	9	9	1602	0	0	1620	0	0	1620
Cobs	64	native_effect_ridge	native_effect	centroid_accuracy	higher	55	30	54	1620	0.00387579498690571	-0.003030303030303028	0.003030303030303028	0.001010101010101008	729	729	162	0	0	1620	0	0	1620	0	0	1620
Cobs	128	selected_CPA	state	standardized_MSE	lower	55	30	54	1620	0.002482005874958248	-0.008907691002046003	0.008907691002046003	0.002283606174816466	810	810	0	65	65	1490	0	0	1620	0	0	1620
Cobs	128	selected_CPA	state	raw_RMSE	lower	55	30	54	1620	0.002136500372485287	-0.00697426349173433	0.00697426349173433	0.001893492253749866	810	810	0	32	32	1556	0	0	1620	0	0	1620
Cobs	128	selected_CPA	state	perturbation_centred_Pearson	higher	55	30	54	1620	0.02416447628742008	-0.03947164727328063	0.03947164727328063	0.01059400397683623	810	810	0	573	573	474	362	362	896	111	111	1398
Cobs	128	selected_CPA	state	centroid_accuracy	higher	55	30	54	1620	0.007195410899113472	-0.007744107744107741	0.007744107744107741	0.001846448019287527	765	765	90	29	29	1562	0	0	1620	0	0	1620
Cobs	128	original_CPA_fixed	state	standardized_MSE	lower	55	30	54	1620	0.002633383306628716	-0.00969455631854905	0.00969455631854905	0.002446164275187147	810	810	0	84	84	1452	0	0	1620	0	0	1620
Cobs	128	original_CPA_fixed	state	raw_RMSE	lower	55	30	54	1620	0.002038057106405089	-0.007185085443742351	0.007185085443742351	0.001815029043370769	810	810	0	27	27	1566	0	0	1620	0	0	1620
Cobs	128	original_CPA_fixed	state	perturbation_centred_Pearson	higher	55	30	54	1620	0.02090106648549495	-0.02459536816550685	0.02459536816550685	0.006384564782265611	810	810	0	438	438	744	177	177	1266	6	6	1608
Cobs	128	original_CPA_fixed	state	centroid_accuracy	higher	55	30	54	1620	0.00526000748223008	-0.003367003367003368	0.003367003367003368	0.0008305274971941544	702	702	216	0	0	1620	0	0	1620	0	0	1620
Cobs	128	additive	state	standardized_MSE	lower	55	30	54	1620	0.00161779604862357	-0.003265141359233016	0.003265141359233016	0.001405965465749959	810	810	0	0	0	1620	0	0	1620	0	0	1620
Cobs	128	additive	state	raw_RMSE	lower	55	30	54	1620	0.002313927006392708	-0.004777838133719097	0.004777838133719097	0.00205012569287425	810	810	0	0	0	1620	0	0	1620	0	0	1620
Cobs	128	additive	state	perturbation_centred_Pearson	higher	55	30	54	1620	0.0116170817882314	-0.02065356691462416	0.02065356691462416	0.01047016745243056	810	810	0	540	540	540	540	540	540	3	3	1614
