depth	role	model	metric	gap	taskmean_values	positive	negative	within
8	Cmodel	NC_native_effect	perturbation_centred_Pearson	0.01	1620	0	0	1620
8	Cmodel	NC_native_effect	perturbation_centred_Pearson	0.02	1620	0	0	1620
8	Cmodel	NC_native_effect	centroid_accuracy	0.0	1620	0	0	1620
8	Cmodel	NC_native_effect	centroid_accuracy	0.005	1620	0	0	1620
8	Cmodel	NC_native_effect	centroid_accuracy	0.01	1620	0	0	1620
8	Cmodel	NC_native_effect	centroid_accuracy	0.02	1620	0	0	1620
8	Cmodel	native_effect_ridge	standardized_MSE	0.0	1620	0	0	1620
8	Cmodel	native_effect_ridge	standardized_MSE	0.005	1620	0	0	1620
8	Cmodel	native_effect_ridge	standardized_MSE	0.01	1620	0	0	1620
8	Cmodel	native_effect_ridge	standardized_MSE	0.02	1620	0	0	1620
8	Cmodel	native_effect_ridge	raw_RMSE	0.0	1620	0	0	1620
8	Cmodel	native_effect_ridge	raw_RMSE	0.005	1620	0	0	1620
8	Cmodel	native_effect_ridge	raw_RMSE	0.01	1620	0	0	1620
8	Cmodel	native_effect_ridge	raw_RMSE	0.02	1620	0	0	1620
8	Cmodel	native_effect_ridge	perturbation_centred_Pearson	0.0	1620	0	0	1620
8	Cmodel	native_effect_ridge	perturbation_centred_Pearson	0.005	1620	0	0	1620
8	Cmodel	native_effect_ridge	perturbation_centred_Pearson	0.01	1620	0	0	1620
8	Cmodel	native_effect_ridge	perturbation_centred_Pearson	0.02	1620	0	0	1620
8	Cmodel	native_effect_ridge	centroid_accuracy	0.0	1620	0	0	1620
8	Cmodel	native_effect_ridge	centroid_accuracy	0.005	1620	0	0	1620
8	Cmodel	native_effect_ridge	centroid_accuracy	0.01	1620	0	0	1620
8	Cmodel	native_effect_ridge	centroid_accuracy	0.02	1620	0	0	1620
16	Cobs	selected_CPA	standardized_MSE	0.0	1620	810	810	0
16	Cobs	selected_CPA	standardized_MSE	0.005	1620	623	623	374
16	Cobs	selected_CPA	standardized_MSE	0.01	1620	463	463	694
16	Cobs	selected_CPA	standardized_MSE	0.02	1620	140	140	1340
16	Cobs	selected_CPA	raw_RMSE	0.0	1620	810	810	0
16	Cobs	selected_CPA	raw_RMSE	0.005	1620	594	594	432
16	Cobs	selected_CPA	raw_RMSE	0.01	1620	383	383	854
16	Cobs	selected_CPA	raw_RMSE	0.02	1620	68	68	1484
16	Cobs	selected_CPA	perturbation_centred_Pearson	0.0	1620	810	810	0
16	Cobs	selected_CPA	perturbation_centred_Pearson	0.005	1620	744	744	132
16	Cobs	selected_CPA	perturbation_centred_Pearson	0.01	1620	663	663	294
16	Cobs	selected_CPA	perturbation_centred_Pearson	0.02	1620	510	510	600
16	Cobs	selected_CPA	centroid_accuracy	0.0	1620	793	793	34
16	Cobs	selected_CPA	centroid_accuracy	0.005	1620	362	362	896
