task_index	task	depth	allocation	model	view	Cobs	Cpred	Cmodel	standardized_MSE	raw_RMSE	perturbation_centred_Pearson	centroid_accuracy
0	BAK1+KLF1	8	0	NC_native_effect	roles	2	0	0	0.04581810362010997	0.10129840584224202	0.411010632437976	0.8703703703703703
0	BAK1+KLF1	8	0	NC_native_effect	roles	2	0	1	0.04581810362010997	0.10129840584224202	0.411010632437976	0.8703703703703703
0	BAK1+KLF1	8	0	NC_native_effect	roles	2	0	2	0.04581810362010997	0.10129840584224202	0.411010632437976	0.8703703703703703
0	BAK1+KLF1	8	0	NC_native_effect	roles	2	1	0	0.04581810362010997	0.10129840584224202	0.411010632437976	0.8703703703703703
0	BAK1+KLF1	8	0	NC_native_effect	roles	2	1	1	0.04581810362010997	0.10129840584224202	0.411010632437976	0.8703703703703703
0	BAK1+KLF1	8	0	NC_native_effect	roles	2	1	2	0.04581810362010997	0.10129840584224202	0.411010632437976	0.8703703703703703
0	BAK1+KLF1	8	0	NC_native_effect	roles	2	2	0	0.04581810362010997	0.10129840584224202	0.411010632437976	0.8703703703703703
0	BAK1+KLF1	8	0	NC_native_effect	roles	2	2	1	0.04581810362010997	0.10129840584224202	0.411010632437976	0.8703703703703703
0	BAK1+KLF1	8	0	NC_native_effect	roles	2	2	2	0.04581810362010997	0.10129840584224202	0.411010632437976	0.8703703703703703
0	BAK1+KLF1	8	0	NC_native_effect	direct_state	unused	unused	0	0.03251206408928043	0.08857144230455566	0.5032039779519699	0.8518518518518519
0	BAK1+KLF1	8	0	NC_native_effect	direct_state	unused	unused	1	0.03251206408928043	0.08857144230455566	0.5032039779519699	0.8518518518518519
0	BAK1+KLF1	8	0	NC_native_effect	direct_state	unused	unused	2	0.03251206408928043	0.08857144230455566	0.5032039779519699	0.8518518518518519
0	BAK1+KLF1	8	0	native_effect_ridge	roles	0	0	0	0.02072344139812813	0.06272643745941175	0.8324870638142225	1.0
0	BAK1+KLF1	8	0	native_effect_ridge	roles	0	0	1	0.02072344139812813	0.06272643745941175	0.8324870638142225	1.0
0	BAK1+KLF1	8	0	native_effect_ridge	roles	0	0	2	0.02072344139812813	0.06272643745941175	0.8324870638142225	1.0
0	BAK1+KLF1	8	0	native_effect_ridge	roles	0	1	0	0.02072344139812813	0.06272643745941175	0.8324870638142225	1.0
0	BAK1+KLF1	8	0	native_effect_ridge	roles	0	1	1	0.02072344139812813	0.06272643745941175	0.8324870638142225	1.0
0	BAK1+KLF1	8	0	native_effect_ridge	roles	0	1	2	0.02072344139812813	0.06272643745941175	0.8324870638142225	1.0
