depth	role_pair	model	metric	edges_per_allocation	task_edge_values	all_task_mean_abs_change	all_task_max_abs_change	taskmean_min_change	taskmean_max_change	taskmean_mean_abs_change	taskmean_max_abs_change	taskmean_signed_mean_change
16	Cobs:Cmodel	native_effect_ridge	perturbation_centred_Pearson	108	178200	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	Cobs:Cmodel	native_effect_ridge	centroid_accuracy	108	178200	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	Cpred:Cmodel	selected_CPA	standardized_MSE	108	178200	0.0021582150316562907	0.008102647330820778	-0.007956728565134791	0.007956728565134791	0.0021581303052817797	0.007956728565134791	-3.7478593616782866e-21
16	Cpred:Cmodel	selected_CPA	raw_RMSE	108	178200	0.0017003507336717577	0.013963234595038641	-0.007581469364985068	0.007581469364985068	0.001685003869042273	0.007581469364985068	2.6770424011987762e-21
16	Cpred:Cmodel	selected_CPA	perturbation_centred_Pearson	108	178200	0.018197833295010724	0.16070402813618834	-0.05649545007783096	0.05649545007783096	0.01114061037556141	0.05649545007783096	2.0880930729350456e-20
16	Cpred:Cmodel	selected_CPA	centroid_accuracy	108	178200	0.01510246497901048	0.14814814814814814	-0.010774410774410775	0.010774410774410775	0.0022687783181610578	0.010774410774410775	-2.8614236965813423e-19
16	Cpred:Cmodel	original_CPA_fixed	standardized_MSE	108	178200	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	Cpred:Cmodel	original_CPA_fixed	raw_RMSE	108	178200	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	Cpred:Cmodel	original_CPA_fixed	perturbation_centred_Pearson	108	178200	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	Cpred:Cmodel	original_CPA_fixed	centroid_accuracy	108	178200	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	Cpred:Cmodel	additive	standardized_MSE	108	178200	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	Cpred:Cmodel	additive	raw_RMSE	108	178200	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	Cpred:Cmodel	additive	perturbation_centred_Pearson	108	178200	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	Cpred:Cmodel	additive	centroid_accuracy	108	178200	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	Cpred:Cmodel	compositional_ridge	standardized_MSE	108	178200	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	Cpred:Cmodel	compositional_ridge	raw_RMSE	108	178200	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	Cpred:Cmodel	compositional_ridge	perturbation_centred_Pearson	108	178200	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	Cpred:Cmodel	compositional_ridge	centroid_accuracy	108	178200	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	Cpred:Cmodel	NC_native_effect	standardized_MSE	108	178200	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	Cpred:Cmodel	NC_native_effect	raw_RMSE	108	178200	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	Cpred:Cmodel	NC_native_effect	perturbation_centred_Pearson	108	178200	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	Cpred:Cmodel	NC_native_effect	centroid_accuracy	108	178200	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	Cpred:Cmodel	native_effect_ridge	standardized_MSE	108	178200	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	Cpred:Cmodel	native_effect_ridge	raw_RMSE	108	178200	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	Cpred:Cmodel	native_effect_ridge	perturbation_centred_Pearson	108	178200	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	Cpred:Cmodel	native_effect_ridge	centroid_accuracy	108	178200	0.0	0.0	0.0	0.0	0.0	0.0	0.0
