depth	role	model	metric	edges_per_allocation	task_edge_values	all_task_mean_abs_change	all_task_max_abs_change	taskmean_min_change	taskmean_max_change	taskmean_mean_abs_change	taskmean_max_abs_change	taskmean_signed_mean_change
8	Cmodel	NC_native_effect	centroid_accuracy	54	89100	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	Cmodel	native_effect_ridge	standardized_MSE	54	89100	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	Cmodel	native_effect_ridge	raw_RMSE	54	89100	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	Cmodel	native_effect_ridge	perturbation_centred_Pearson	54	89100	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	Cmodel	native_effect_ridge	centroid_accuracy	54	89100	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	Cobs	selected_CPA	standardized_MSE	54	89100	0.012762074226990553	0.06962186201304121	-0.03759009874243205	0.03759009874243205	0.012311063449985178	0.03759009874243205	1.616933610324061e-19
16	Cobs	selected_CPA	raw_RMSE	54	89100	0.010365520196029905	0.035797127201536785	-0.027532611624987206	0.027532611624987206	0.009947773615817841	0.027532611624987206	-1.424186557437749e-19
16	Cobs	selected_CPA	perturbation_centred_Pearson	54	89100	0.07761316586745194	0.4275891416867423	-0.12163193424255564	0.12163193424255564	0.03109268400895306	0.12163193424255564	-2.955454810923449e-19
16	Cobs	selected_CPA	centroid_accuracy	54	89100	0.017347965249188843	0.20370370370370372	-0.017171717171717178	0.017171717171717178	0.005051336409361111	0.017171717171717178	1.151128232515474e-19
16	Cobs	original_CPA_fixed	standardized_MSE	54	89100	0.013056497375495177	0.0689008283441282	-0.0367034755595499	0.0367034755595499	0.012562276077772303	0.0367034755595499	-1.4991437446713146e-20
16	Cobs	original_CPA_fixed	raw_RMSE	54	89100	0.009767719425435575	0.03350766227238719	-0.025544466213455966	0.025544466213455966	0.009362646588600915	0.025544466213455966	-1.3706457094137735e-19
16	Cobs	original_CPA_fixed	perturbation_centred_Pearson	54	89100	0.0835076824793589	0.34582749876790664	-0.0767228740108747	0.0767228740108747	0.025569735411544756	0.0767228740108747	5.13992141030165e-19
16	Cobs	original_CPA_fixed	centroid_accuracy	54	89100	0.012300785634112278	0.11111111111111116	-0.010101010101010105	0.010101010101010105	0.0026287567028307865	0.010101010101010105	3.312839971483486e-20
16	Cobs	additive	standardized_MSE	54	89100	0.011152431746729523	0.035821574139207335	-0.02081826686293794	0.02081826686293794	0.010687765687922544	0.02081826686293794	-8.566535683836084e-21
16	Cobs	additive	raw_RMSE	54	89100	0.0139593745380648	0.038965495585189004	-0.02545906315540207	0.02545906315540207	0.013482661691935259	0.02545906315540207	-2.7841240972467276e-20
16	Cobs	additive	perturbation_centred_Pearson	54	89100	0.0683572205421388	0.29415048367406654	-0.1091514429066627	0.1091514429066627	0.06508012862949022	0.1091514429066627	2.569960705150825e-19
16	Cobs	additive	centroid_accuracy	54	89100	0.005067963586482452	0.31481481481481477	-0.012457912457912454	0.012457912457912454	0.0030776904850978904	0.012457912457912454	3.3663808195074614e-20
16	Cobs	compositional_ridge	standardized_MSE	54	89100	0.011188965136890824	0.041071896514536105	-0.02159104318567929	0.02159104318567929	0.01073682289980613	0.02159104318567929	2.5699607051508254e-20
16	Cobs	compositional_ridge	raw_RMSE	54	89100	0.014622890723871247	0.03730898737930734	-0.026438770642916585	0.026438770642916585	0.014069450818106292	0.026438770642916585	-8.566535683836084e-21
16	Cobs	compositional_ridge	perturbation_centred_Pearson	54	89100	0.12651899933089358	0.4261749037597859	-0.21686902668884656	0.21686902668884656	0.12158254990589971	0.21686902668884656	2.3986299914741034e-19
16	Cobs	compositional_ridge	centroid_accuracy	54	89100	0.02028931288190033	0.38888888888888895	-0.042424242424242434	0.042424242424242434	0.01064222471629882	0.042424242424242434	-1.3599375398089785e-19
16	Cobs	NC_native_effect	standardized_MSE	54	89100	0.007517396553058575	0.05052579851361061	-0.020493183471112498	0.020493183471112498	0.007221973488791873	0.020493183471112498	-1.151128232515474e-19
16	Cobs	NC_native_effect	raw_RMSE	54	89100	0.0050467263625641155	0.019130180772932492	-0.013758145417784433	0.013758145417784433	0.004742205567643907	0.013758145417784433	8.057897627608317e-20
16	Cobs	NC_native_effect	perturbation_centred_Pearson	54	89100	0.03034332725422157	0.17659158556084914	-0.023692374893966	0.023692374893966	0.007167546848497421	0.023692374893966	2.896559878097076e-19
16	Cobs	NC_native_effect	centroid_accuracy	54	89100	0.010587355031794676	0.11111111111111116	-5.046468293750711e-19	5.046468293750711e-19	5.607186993056347e-21	5.046468293750711e-19	0.0
16	Cobs	native_effect_ridge	standardized_MSE	54	89100	0.0022315344009409656	0.01853886246120781	-0.002088545360815802	0.002088545360815802	0.0006516352974684169	0.002088545360815802	-2.5766533111538223e-21
16	Cobs	native_effect_ridge	raw_RMSE	54	89100	0.002899363227810623	0.01781789775508598	-0.0031565556915465537	0.0031565556915465537	0.0009782325780701775	0.0031565556915465537	3.2325286994475226e-20
