depth	role_pair	model	metric	gap	taskmean_values	positive	negative	within
8	Cpred:Cmodel	additive	perturbation_centred_Pearson	0.0	3240	0	0	3240
8	Cpred:Cmodel	additive	perturbation_centred_Pearson	0.005	3240	0	0	3240
8	Cpred:Cmodel	additive	perturbation_centred_Pearson	0.01	3240	0	0	3240
8	Cpred:Cmodel	additive	perturbation_centred_Pearson	0.02	3240	0	0	3240
8	Cpred:Cmodel	additive	centroid_accuracy	0.0	3240	0	0	3240
8	Cpred:Cmodel	additive	centroid_accuracy	0.005	3240	0	0	3240
8	Cpred:Cmodel	additive	centroid_accuracy	0.01	3240	0	0	3240
8	Cpred:Cmodel	additive	centroid_accuracy	0.02	3240	0	0	3240
8	Cpred:Cmodel	compositional_ridge	standardized_MSE	0.0	3240	0	0	3240
8	Cpred:Cmodel	compositional_ridge	standardized_MSE	0.005	3240	0	0	3240
8	Cpred:Cmodel	compositional_ridge	standardized_MSE	0.01	3240	0	0	3240
8	Cpred:Cmodel	compositional_ridge	standardized_MSE	0.02	3240	0	0	3240
8	Cpred:Cmodel	compositional_ridge	raw_RMSE	0.0	3240	0	0	3240
8	Cpred:Cmodel	compositional_ridge	raw_RMSE	0.005	3240	0	0	3240
8	Cpred:Cmodel	compositional_ridge	raw_RMSE	0.01	3240	0	0	3240
8	Cpred:Cmodel	compositional_ridge	raw_RMSE	0.02	3240	0	0	3240
8	Cpred:Cmodel	compositional_ridge	perturbation_centred_Pearson	0.0	3240	0	0	3240
8	Cpred:Cmodel	compositional_ridge	perturbation_centred_Pearson	0.005	3240	0	0	3240
8	Cpred:Cmodel	compositional_ridge	perturbation_centred_Pearson	0.01	3240	0	0	3240
8	Cpred:Cmodel	compositional_ridge	perturbation_centred_Pearson	0.02	3240	0	0	3240
8	Cpred:Cmodel	compositional_ridge	centroid_accuracy	0.0	3240	0	0	3240
8	Cpred:Cmodel	compositional_ridge	centroid_accuracy	0.005	3240	0	0	3240
8	Cpred:Cmodel	compositional_ridge	centroid_accuracy	0.01	3240	0	0	3240
8	Cpred:Cmodel	compositional_ridge	centroid_accuracy	0.02	3240	0	0	3240
8	Cpred:Cmodel	NC_native_effect	standardized_MSE	0.0	3240	0	0	3240
8	Cpred:Cmodel	NC_native_effect	standardized_MSE	0.005	3240	0	0	3240
8	Cpred:Cmodel	NC_native_effect	standardized_MSE	0.01	3240	0	0	3240
8	Cpred:Cmodel	NC_native_effect	standardized_MSE	0.02	3240	0	0	3240
8	Cpred:Cmodel	NC_native_effect	raw_RMSE	0.0	3240	0	0	3240
8	Cpred:Cmodel	NC_native_effect	raw_RMSE	0.005	3240	0	0	3240
8	Cpred:Cmodel	NC_native_effect	raw_RMSE	0.01	3240	0	0	3240
8	Cpred:Cmodel	NC_native_effect	raw_RMSE	0.02	3240	0	0	3240
8	Cpred:Cmodel	NC_native_effect	perturbation_centred_Pearson	0.0	3240	0	0	3240
8	Cpred:Cmodel	NC_native_effect	perturbation_centred_Pearson	0.005	3240	0	0	3240
8	Cpred:Cmodel	NC_native_effect	perturbation_centred_Pearson	0.01	3240	0	0	3240
