task	model_a	model_b	allocation	S_margin	O_margin	O_fixed_input_margin	S_direction	O_direction	O_fixed_input_direction	strict_S_O_reversal	actual_vs_fixed_input_direction_changed
Epen1	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	5	-0.02995572206597491	0.050131939985882085	0.05415179920916546	-1	1	1	True	False
Epen1	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	6	-0.02995572206597491	0.054797994982658	0.06147707244188008	-1	1	1	True	False
Epen1	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	7	-0.02995572206597491	0.05488124963606547	0.061883851914544846	-1	1	1	True	False
Epen1	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	8	-0.02995572206597491	0.05511943244444095	0.06013792318327671	-1	1	1	True	False
Epen1	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	9	-0.02995572206597491	0.05002414949902054	0.056318594026612184	-1	1	1	True	False
Epen1	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	10	-0.02995572206597491	0.0574131852836596	0.06389829515663181	-1	1	1	True	False
Epen1	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	11	-0.02995572206597491	0.0484435591158362	0.05229434910412903	-1	1	1	True	False
Epen1	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	12	-0.02995572206597491	0.052358689552280735	0.05684477559699275	-1	1	1	True	False
Epen1	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	13	-0.02995572206597491	0.05118493017648937	0.05545242979365403	-1	1	1	True	False
Epen1	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	14	-0.02995572206597491	0.048944098067471936	0.05410287010473536	-1	1	1	True	False
Epen1	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	15	-0.02995572206597491	0.05526206267608791	0.06407054175492954	-1	1	1	True	False
Epen1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	0	0.007969657348503682	0.09042943415220937	0.09594092036698167	1	1	1	False	False
Epen1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	1	0.007969657348503682	0.09255311929545143	0.0983242220979659	1	1	1	False	False
Epen1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	2	0.007969657348503682	0.08980978610558979	0.09510576743220481	1	1	1	False	False
Epen1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	3	0.007969657348503682	0.09248112375626448	0.09893354363775549	1	1	1	False	False
Epen1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	4	0.007969657348503682	0.09226794644217293	0.1018008810630392	1	1	1	False	False
Epen1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	5	0.007969657348503682	0.09035910048027748	0.09437895970356086	1	1	1	False	False
Epen1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	6	0.007969657348503682	0.09360359441406083	0.10028267187328291	1	1	1	False	False
Epen1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	7	0.007969657348503682	0.09192640903361982	0.09892901131209919	1	1	1	False	False
Epen1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	8	0.007969657348503682	0.0935708875244702	0.09858937826330595	1	1	1	False	False
Epen1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	9	0.007969657348503682	0.08742345324794845	0.0937178977755401	1	1	1	False	False
Epen1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	10	0.007969657348503682	0.09366358600054794	0.10014869587352015	1	1	1	False	False
Epen1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	11	0.007969657348503682	0.08804391722790503	0.09189470721619786	1	1	1	False	False
Epen1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	12	0.007969657348503682	0.0902593282556344	0.09474541430034641	1	1	1	False	False
Epen1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	13	0.007969657348503682	0.0891350503020929	0.09340254991925756	1	1	1	False	False
Epen1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	14	0.007969657348503682	0.0880783939611724	0.09323716599843582	1	1	1	False	False
Epen1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	15	0.007969657348503682	0.09197852561134459	0.10078700469018623	1	1	1	False	False
FPP	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	0	-0.03501885350063065	-0.03607798168499182	-0.03607798168499182	-1	-1	-1	False	False
FPP	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	1	-0.03501885350063065	-0.03395972531626951	-0.03395972531626951	-1	-1	-1	False	False
FPP	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	2	-0.03501885350063065	-0.033457843060894235	-0.033457843060894235	-1	-1	-1	False	False
