root_task_index	root_index	task	model_a	model_b	allocation	S_margin	O_margin	O_fixed_input_margin	S_direction	O_direction	O_fixed_input_direction	strict_S_O_reversal	actual_vs_fixed_input_direction_changed
1	0	DA	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	0	-0.027182371813099446	0.10884335648643009	0.1158382049332167	-1	1	1	True	False
1	0	DA	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	1	-0.027182371813099446	0.0659903293726613	0.06850199090515655	-1	1	1	True	False
1	0	DA	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	2	-0.027182371813099446	0.09720709363251614	0.1076103802869397	-1	1	1	True	False
1	0	DA	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	3	-0.027182371813099446	0.06869290969832678	0.06752066151965538	-1	1	1	True	False
1	0	DA	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	4	-0.027182371813099446	0.10926805223948288	0.104076831455513	-1	1	1	True	False
1	0	DA	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	5	-0.027182371813099446	0.07936435262707048	0.106653401824856	-1	1	1	True	False
1	0	DA	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	6	-0.027182371813099446	0.0642861221640249	0.061561737823348506	-1	1	1	True	False
1	0	DA	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	7	-0.027182371813099446	0.07842655178916283	0.0866573685102198	-1	1	1	True	False
1	0	DA	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	8	-0.027182371813099446	0.06129693493537333	0.06035541965477903	-1	1	1	True	False
1	0	DA	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	9	-0.027182371813099446	0.09675455991047088	0.12256348777913456	-1	1	1	True	False
1	0	DA	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	10	-0.027182371813099446	0.0708609862203074	0.06859308237108713	-1	1	1	True	False
1	0	DA	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	11	-0.027182371813099446	0.08649433117969774	0.09947164875787873	-1	1	1	True	False
1	0	DA	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	12	-0.027182371813099446	0.11133217877183574	0.12775940975652791	-1	1	1	True	False
1	0	DA	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	13	-0.027182371813099446	0.07592498266286704	0.07419605396328052	-1	1	1	True	False
1	0	DA	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	14	-0.027182371813099446	0.0938187434995259	0.1022526386964436	-1	1	1	True	False
1	0	DA	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	15	-0.027182371813099446	0.0866122614401168	0.08251095200238398	-1	1	1	True	False
