condition	depth_per_gemgroup	cells_per_role	effect_model	state_model	d_S	V	d_D	n_allocations	crossing_unit_count	d_D_predicted	identity_residual	condition_strict_raw	expected_crossing	observed_crossing	S_tie	D_tie	classification
CBFA2T3+POU3F2	16	128	direct_effect_ridge	CPA_0.8.8	0.06570341266113312	0.015340822696117635	0.08104423535725075	30	0	0.08104423535725076	-1.3877787807814457e-17	False	False	False	False	False	effect_preferred_both
CBFA2T3+POU3F2	32	256	direct_effect_ridge	additive	-0.005186780017541481	0.0077340105629845465	0.002547230545443068	30	30	0.002547230545443066	2.168404344971009e-18	True	True	True	False	False	state_to_effect
CBFA2T3+POU3F2	32	256	direct_effect_ridge	compositional_ridge	0.015220864975928715	0.0077340105629845465	0.022954875538913257	30	0	0.02295487553891326	-3.469446951953614e-18	False	False	False	False	False	effect_preferred_both
CBFA2T3+POU3F2	32	256	direct_effect_ridge	CPA_0.8.8	0.06841737202513463	0.0077340105629845465	0.07615138258811918	30	0	0.07615138258811918	0.0	False	False	False	False	False	effect_preferred_both
CBFA2T3+POU3F2	64	512	direct_effect_ridge	additive	-0.003225028331474209	0.0038389955844027146	0.0006139672529285081	30	28	0.0006139672529285054	2.710505431213761e-18	True	True	True	False	False	state_to_effect
CBFA2T3+POU3F2	64	512	direct_effect_ridge	compositional_ridge	0.017182616661995987	0.0038389955844027146	0.0210216122463987	30	0	0.021021612246398702	-3.469446951953614e-18	False	False	False	False	False	effect_preferred_both
CBFA2T3+POU3F2	64	512	direct_effect_ridge	CPA_0.8.8	0.06996661263692829	0.0038389955844027146	0.073805608221331	30	0	0.073805608221331	0.0	False	False	False	False	False	effect_preferred_both
CBFA2T3+POU3F2	128	1024	direct_effect_ridge	additive	-0.002243825871366176	0.0019173976591933101	-0.00032642821217286416	30	0	-0.0003264282121728658	1.6263032587282567e-18	False	False	False	False	False	state_preferred_both
CBFA2T3+POU3F2	128	1024	direct_effect_ridge	compositional_ridge	0.01816381912210402	0.0019173976591933101	0.020081216781297328	30	0	0.020081216781297328	0.0	False	False	False	False	False	effect_preferred_both
CBFA2T3+POU3F2	128	1024	direct_effect_ridge	CPA_0.8.8	0.07101023672081161	0.0019173976591933101	0.07292763438000492	30	0	0.07292763438000492	0.0	False	False	False	False	False	effect_preferred_both
CBFA2T3+POU3F2	135	1080	direct_effect_ridge	additive	-0.002173724870991579	0.0018214947222395463	-0.00035223014875203037	30	0	-0.00035223014875203264	2.2768245622195593e-18	False	False	False	False	False	state_preferred_both
CBFA2T3+POU3F2	135	1080	direct_effect_ridge	compositional_ridge	0.018233920122478615	0.0018214947222395463	0.020055414844718164	30	0	0.02005541484471816	3.469446951953614e-18	False	False	False	False	False	effect_preferred_both
CBFA2T3+POU3F2	135	1080	direct_effect_ridge	CPA_0.8.8	0.07094938969443036	0.0018214947222395463	0.0727708844166699	30	0	0.07277088441666991	-1.3877787807814457e-17	False	False	False	False	False	effect_preferred_both
CBL+CNN1	8	64	direct_effect_ridge	additive	-0.0025184231844310265	0.030771096581544737	0.028252673397113712	30	30	0.02825267339711371	3.469446951953614e-18	True	True	True	False	False	state_to_effect
CBL+CNN1	8	64	direct_effect_ridge	compositional_ridge	0.005922350774512798	0.030771096581544737	0.03669344735605754	30	0	0.036693447356057535	6.938893903907228e-18	False	False	False	False	False	effect_preferred_both
CBL+CNN1	8	64	direct_effect_ridge	CPA_0.8.8	0.12760783202113476	0.030771096581544737	0.15837892860267952	30	0	0.1583789286026795	2.7755575615628914e-17	False	False	False	False	False	effect_preferred_both
CBL+CNN1	16	128	direct_effect_ridge	additive	0.005127660608511113	0.015340822696117635	0.020468483304628745	30	0	0.02046848330462875	-3.469446951953614e-18	False	False	False	False	False	effect_preferred_both
CBL+CNN1	16	128	direct_effect_ridge	compositional_ridge	0.013568434567454938	0.015340822696117635	0.028909257263572578	30	0	0.028909257263572574	3.469446951953614e-18	False	False	False	False	False	effect_preferred_both
CBL+CNN1	16	128	direct_effect_ridge	CPA_0.8.8	0.13489830181026174	0.015340822696117635	0.15023912450637938	30	0	0.15023912450637938	0.0	False	False	False	False	False	effect_preferred_both
CBL+CNN1	32	256	direct_effect_ridge	additive	0.008998154871800166	0.0077340105629845465	0.016732165434784712	30	0	0.016732165434784712	0.0	False	False	False	False	False	effect_preferred_both
CBL+CNN1	32	256	direct_effect_ridge	compositional_ridge	0.017438928830743994	0.0077340105629845465	0.025172939393728545	30	0	0.02517293939372854	3.469446951953614e-18	False	False	False	False	False	effect_preferred_both
CBL+CNN1	32	256	direct_effect_ridge	CPA_0.8.8	0.13732963388740074	0.0077340105629845465	0.14506364445038533	30	0	0.14506364445038528	5.551115123125783e-17	False	False	False	False	False	effect_preferred_both
CBL+CNN1	64	512	direct_effect_ridge	additive	0.010979799327123143	0.0038389955844027146	0.014818794911525853	30	0	0.014818794911525858	-5.204170427930421e-18	False	False	False	False	False	effect_preferred_both
CBL+CNN1	64	512	direct_effect_ridge	compositional_ridge	0.019420573286066965	0.0038389955844027146	0.023259568870469687	30	0	0.02325956887046968	6.938893903907228e-18	False	False	False	False	False	effect_preferred_both
CBL+CNN1	64	512	direct_effect_ridge	CPA_0.8.8	0.13866389897673131	0.0038389955844027146	0.14250289456113402	30	0	0.14250289456113402	0.0	False	False	False	False	False	effect_preferred_both
CBL+CNN1	128	1024	direct_effect_ridge	additive	0.011915150937969379	0.0019173976591933101	0.013832548597162684	30	0	0.01383254859716269	-5.204170427930421e-18	False	False	False	False	False	effect_preferred_both
CBL+CNN1	128	1024	direct_effect_ridge	compositional_ridge	0.020355924896913204	0.0019173976591933101	0.02227332255610652	30	0	0.022273322556106513	6.938893903907228e-18	False	False	False	False	False	effect_preferred_both
CBL+CNN1	128	1024	direct_effect_ridge	CPA_0.8.8	0.13966539878408932	0.0019173976591933101	0.14158279644328262	30	0	0.14158279644328262	0.0	False	False	False	False	False	effect_preferred_both
CBL+CNN1	135	1080	direct_effect_ridge	additive	0.012007737438268112	0.0018214947222395463	0.013829232160507654	30	0	0.013829232160507658	-3.469446951953614e-18	False	False	False	False	False	effect_preferred_both
CBL+CNN1	135	1080	direct_effect_ridge	compositional_ridge	0.02044851139721194	0.0018214947222395463	0.02227000611945149	30	0	0.022270006119451485	3.469446951953614e-18	False	False	False	False	False	effect_preferred_both
CBL+CNN1	135	1080	direct_effect_ridge	CPA_0.8.8	0.13960704210532146	0.0018214947222395463	0.141428536827561	30	0	0.141428536827561	0.0	False	False	False	False	False	effect_preferred_both
CBL+PTPN12	8	64	direct_effect_ridge	additive	-0.008943839486327114	0.030771096581544737	0.02182725709521763	30	30	0.02182725709521762	1.0408340855860843e-17	True	True	True	False	False	state_to_effect
CBL+PTPN12	8	64	direct_effect_ridge	compositional_ridge	-0.013226283124799999	0.030771096581544737	0.017544813456744742	30	30	0.01754481345674474	3.469446951953614e-18	True	True	True	False	False	state_to_effect
CBL+PTPN12	8	64	direct_effect_ridge	CPA_0.8.8	0.0654801962813056	0.030771096581544737	0.09625129286285034	30	0	0.09625129286285034	0.0	False	False	False	False	False	effect_preferred_both
CBL+PTPN12	16	128	direct_effect_ridge	additive	-0.0011258673887796075	0.015340822696117635	0.014214955307338033	30	30	0.014214955307338028	5.204170427930421e-18	True	True	True	False	False	state_to_effect
CBL+PTPN12	16	128	direct_effect_ridge	compositional_ridge	-0.005408311027252492	0.015340822696117635	0.009932511668865144	30	30	0.009932511668865142	1.734723475976807e-18	True	True	True	False	False	state_to_effect
CBL+PTPN12	16	128	direct_effect_ridge	CPA_0.8.8	0.07277591833361384	0.015340822696117635	0.08811674102973148	30	0	0.08811674102973148	0.0	False	False	False	False	False	effect_preferred_both
CBL+PTPN12	32	256	direct_effect_ridge	additive	0.002587597996000828	0.0077340105629845465	0.010321608558985377	30	0	0.010321608558985375	1.734723475976807e-18	False	False	False	False	False	effect_preferred_both
CBL+PTPN12	32	256	direct_effect_ridge	compositional_ridge	-0.0016948456424720564	0.0077340105629845465	0.006039164920512488	30	30	0.0060391649205124905	-2.6020852139652106e-18	True	True	True	False	False	state_to_effect
