realization_id	root_task_index	root_id	root_index	task_id	task_index	construction	pca64_standardized_mse	scgen_standardized_mse	pca64_utility	scgen_utility	pca64_minus_scgen	expected_pca64_utility	expected_scgen_utility	maximum_method_absolute_error_vs_expected
q2	21	R45	4	T02	1	shared	0.13624089907814815	0.10527168981927001	-0.13624089907814815	-0.10527168981927001	-0.030969209258878139	-0.13624089907814815	-0.10527168981927001	0
q2	22	R45	4	T03	2	shared	0.15820196866209985	0.11785145176665797	-0.15820196866209985	-0.11785145176665797	-0.040350516895441876	-0.15820196866209985	-0.11785145176665797	0
q2	23	R45	4	T04	3	shared	0.1651878568858981	0.12731165878735426	-0.1651878568858981	-0.12731165878735426	-0.03787619809854384	-0.1651878568858981	-0.12731165878735426	0
q2	24	R45	4	T05	4	shared	0.18250372844821661	0.14155026978181209	-0.18250372844821661	-0.14155026978181209	-0.040953458666404513	-0.18250372844821661	-0.14155026978181209	0
q2	25	R46	5	T01	0	shared	0.14397453448974246	0.11832256769807625	-0.14397453448974246	-0.11832256769807625	-0.025651966791666203	-0.14397453448974246	-0.11832256769807625	0
q2	26	R46	5	T02	1	shared	0.14345776855890122	0.10937781358788187	-0.14345776855890122	-0.10937781358788187	-0.034079954971019344	-0.14345776855890122	-0.10937781358788187	0
q2	27	R46	5	T03	2	shared	0.18047907120357712	0.14667824891639275	-0.18047907120357712	-0.14667824891639275	-0.033800822287184368	-0.18047907120357712	-0.14667824891639275	0
q2	28	R46	5	T04	3	shared	0.12997728547413429	0.10252768157314211	-0.12997728547413429	-0.10252768157314211	-0.027449603900992173	-0.12997728547413429	-0.10252768157314211	0
q2	29	R46	5	T05	4	shared	0.20084214071546944	0.15238466090934052	-0.20084214071546944	-0.15238466090934052	-0.048457479806128911	-0.20084214071546944	-0.15238466090934052	0
q2	30	R47	6	T01	0	shared	0.18406887136057509	0.16207192500163906	-0.18406887136057509	-0.16207192500163906	-0.021996946358936037	-0.18406887136057509	-0.16207192500163906	0
q2	31	R47	6	T02	1	shared	0.17857695078927247	0.1548832227344982	-0.17857695078927247	-0.1548832227344982	-0.023693728054774266	-0.17857695078927247	-0.1548832227344982	0
