realization_id	root_id	root_index	construction	pca64_mean_standardized_mse	scgen_mean_standardized_mse	pca64_mean_utility	scgen_mean_utility	pca64_minus_scgen
q2	R48	7	rotation	0.24453295507075867	0.36809782062722218	-0.24453295507075867	-0.36809782062722218	0.12356486555646351
q3	R41	0	shared	0.16945803099628259	0.13151978664375288	-0.16945803099628259	-0.13151978664375288	-0.03793824435252971
q3	R42	1	shared	0.15382503158746791	0.12248259031288071	-0.15382503158746791	-0.12248259031288071	-0.031342441274587199
q3	R43	2	shared	0.14774121462970718	0.1140805649108468	-0.14774121462970718	-0.1140805649108468	-0.033660649718860389
q3	R44	3	shared	0.15373979712138211	0.11885224693323493	-0.15373979712138211	-0.11885224693323493	-0.034887550188147182
q3	R45	4	shared	0.15403217075315662	0.11947787102694676	-0.15403217075315662	-0.11947787102694676	-0.034554299726209853
q3	R46	5	shared	0.1597461600883649	0.12428566188138301	-0.1597461600883649	-0.12428566188138301	-0.035460498206981883
q3	R47	6	shared	0.1946129169989875	0.17853606750927453	-0.1946129169989875	-0.17853606750927453	-0.016076849489712969
q3	R48	7	shared	0.16536433997359828	0.12626921315000889	-0.16536433997359828	-0.12626921315000889	-0.039095126823589399
q3	R41	0	split	0.24843211357493072	0.36978493485856512	-0.24843211357493072	-0.36978493485856512	0.12135282128363439
q3	R42	1	split	0.23584725845448845	0.35004099210284167	-0.23584725845448845	-0.35004099210284167	0.11419373364835322
q3	R43	2	split	0.21850504802052567	0.33387013061992549	-0.21850504802052567	-0.33387013061992549	0.11536508259939982
q3	R44	3	split	0.227459011696476	0.3323828705369446	-0.227459011696476	-0.3323828705369446	0.10492385884046859
q3	R45	4	split	0.23377569566011025	0.35750073547997796	-0.23377569566011025	-0.35750073547997796	0.12372503981986771
q3	R46	5	split	0.24182021700412831	0.36392756558853251	-0.24182021700412831	-0.36392756558853251	0.1221073485844042
q3	R47	6	split	0.28530535091234288	0.44229955724359921	-0.28530535091234288	-0.44229955724359921	0.15699420633125633
q3	R48	7	split	0.24791674256567423	0.36873708933609084	-0.24791674256567423	-0.36873708933609084	0.12082034677041661
q3	R41	0	rotation	0.25119769092008842	0.38237490579212274	-0.25119769092008842	-0.38237490579212274	0.13117721487203432
q3	R42	1	rotation	0.22796301815701153	0.34717683361370499	-0.22796301815701153	-0.34717683361370499	0.11921381545669346
