dataset	regime	reference_depth	family	readout	root_index	value
gse162632	cap48	8	scGen	S_to_M	7	-3.494665667957973e-14
gse162632	cap48	8	CPA	raw_state	0	0.11391279496703484
gse162632	cap48	8	CPA	raw_state	1	0.11629962120217938
gse162632	cap48	8	CPA	raw_state	2	0.11008870373740055
gse162632	cap48	8	CPA	raw_state	3	0.11230813227404898
gse162632	cap48	8	CPA	raw_state	4	0.11026970920451652
gse162632	cap48	8	CPA	raw_state	5	0.11040552134794808
gse162632	cap48	8	CPA	raw_state	6	0.1135560177042987
gse162632	cap48	8	CPA	raw_state	7	0.11168520022602414
gse162632	cap48	8	CPA	input_centered_effect	0	0.4932752414703088
gse162632	cap48	8	CPA	input_centered_effect	1	0.4755867037533387
gse162632	cap48	8	CPA	input_centered_effect	2	0.46617449540841865
gse162632	cap48	8	CPA	input_centered_effect	3	0.46578379793590313
gse162632	cap48	8	CPA	input_centered_effect	4	0.47272812171186357
gse162632	cap48	8	CPA	input_centered_effect	5	0.48797266357031477
gse162632	cap48	8	CPA	input_centered_effect	6	0.508931200995713
gse162632	cap48	8	CPA	input_centered_effect	7	0.48703081566286566
gse162632	cap48	8	CPA	reference	0	0.4945971765783124
gse162632	cap48	8	CPA	reference	1	0.4772762745684007
gse162632	cap48	8	CPA	reference	2	0.4681235466829002
gse162632	cap48	8	CPA	reference	3	0.4676773835581799
gse162632	cap48	8	CPA	reference	4	0.4737203334423644
gse162632	cap48	8	CPA	reference	5	0.4890371039141158
gse162632	cap48	8	CPA	reference	6	0.5086716093608081
gse162632	cap48	8	CPA	reference	7	0.4879458449993468
gse162632	cap48	8	CPA	D_to_O	0	0.007141014048568849
gse162632	cap48	8	CPA	D_to_O	1	0.007567765678054121
gse162632	cap48	8	CPA	D_to_O	2	0.006970258744668678
gse162632	cap48	8	CPA	D_to_O	3	0.007190352616140126
gse162632	cap48	8	CPA	D_to_O	4	0.006549243030131151
gse162632	cap48	8	CPA	D_to_O	5	0.0066146738742992595
gse162632	cap48	8	CPA	D_to_O	6	0.0063154039968793775
gse162632	cap48	8	CPA	D_to_O	7	0.006682858101239346
gse162632	cap48	8	CPA	D_to_P	0	-0.007141014049463711
gse162632	cap48	8	CPA	D_to_P	1	-0.007567765683521316
gse162632	cap48	8	CPA	D_to_P	2	-0.006970258739712895
gse162632	cap48	8	CPA	D_to_P	3	-0.007190352615942819
gse162632	cap48	8	CPA	D_to_P	4	-0.006549243018506032
gse162632	cap48	8	CPA	D_to_P	5	-0.006614673876467422
gse162632	cap48	8	CPA	D_to_P	6	-0.00631540399017078
gse162632	cap48	8	CPA	D_to_P	7	-0.0066828580992213185
gse162632	cap48	8	CPA	S_to_M	0	-2.9001064882905325e-12
gse162632	cap48	8	CPA	S_to_M	1	6.56331481755738e-12
gse162632	cap48	8	CPA	S_to_M	2	-7.309555645947559e-12
gse162632	cap48	8	CPA	S_to_M	3	4.035335824751722e-12
gse162632	cap48	8	CPA	S_to_M	4	-1.797471281076805e-11
gse162632	cap48	8	CPA	S_to_M	5	9.52471416552451e-13
gse162632	cap48	8	CPA	S_to_M	6	-6.320551748650872e-12
