matching_id	graph_id	cardinality	model	utility_sum_numerator	utility_sum_denominator
M041	G12	12	PCA	27016628684757979	2251799813685248
M041	G12	12	RBF	108066581913813659	9007199254740992
M041	G12	12	CPA	103355122599162157	9007199254740992
M041	G12	12	scGen	54008414765048645	4503599627370496
M041	G12	12	CellOT	107001339963282217	9007199254740992
M042	G12	12	NC	6754159860358939	562949953421312
M042	G12	12	CM	54033332768143435	4503599627370496
M042	G12	12	TW	54033351938856183	4503599627370496
M042	G12	12	PCA	54033351938856183	4503599627370496
M042	G12	12	RBF	108066761237057713	9007199254740992
M042	G12	12	CPA	103325613285852997	9007199254740992
M042	G12	12	scGen	108017543794634569	9007199254740992
M042	G12	12	CellOT	107005112543471043	9007199254740992
M043	G12	12	NC	108066570933014397	9007199254740992
M043	G12	12	CM	108067170371279415	9007199254740992
M043	G12	12	TW	54033601468430799	4503599627370496
M043	G12	12	PCA	54033601468430799	4503599627370496
M043	G12	12	RBF	108067238701225277	9007199254740992
M043	G12	12	CPA	25841571718559759	2251799813685248
M043	G12	12	scGen	54008712458071173	4503599627370496
M043	G12	12	CellOT	53502628900853811	4503599627370496
M044	G12	12	NC	108066571343481739	9007199254740992
M044	G12	12	CM	54033529806484213	4503599627370496
M044	G12	12	TW	27016773179098655	2251799813685248
M044	G12	12	PCA	27016773179098655	2251799813685248
M044	G12	12	RBF	54033566765130223	4503599627370496
M044	G12	12	CPA	103346756934470081	9007199254740992
M044	G12	12	scGen	27004445414854199	2251799813685248
M044	G12	12	CellOT	107003166351305979	9007199254740992
M045	G12	12	NC	54033285962779385	4503599627370496
M045	G12	12	CM	108066651233053235	9007199254740992
M045	G12	12	TW	13508335376649059	1125899906842624
M045	G12	12	PCA	13508335376649059	1125899906842624
M045	G12	12	RBF	54033371559877329	4503599627370496
M045	G12	12	CPA	51684347187686105	4503599627370496
M045	G12	12	scGen	108017533244700423	9007199254740992
M045	G12	12	CellOT	53500964413929191	4503599627370496
M046	G12	12	NC	54033317538625769	4503599627370496
M046	G12	12	CM	108065845041011701	9007199254740992
M046	G12	12	TW	108065882852003577	9007199254740992
M046	G12	12	PCA	108065882852003577	9007199254740992
M046	G12	12	RBF	54032991024829855	4503599627370496
M046	G12	12	CPA	51670110414739837	4503599627370496
M046	G12	12	scGen	108018231053377061	9007199254740992
M046	G12	12	CellOT	6686814111977741	562949953421312
M047	G12	12	NC	54033330137565041	4503599627370496
M047	G12	12	CM	108067152058032383	9007199254740992
M047	G12	12	TW	108067185504149611	9007199254740992
M047	G12	12	PCA	108067185504149611	9007199254740992
M047	G12	12	RBF	108067226080339745	9007199254740992
M047	G12	12	CPA	103356897278350297	9007199254740992
M047	G12	12	scGen	27003992348245689	2251799813685248
M047	G12	12	CellOT	53501926570835695	4503599627370496
M048	G12	12	NC	108066670492337569	9007199254740992
M048	G12	12	CM	108065912065775603	9007199254740992
M048	G12	12	TW	27016487318983391	2251799813685248
M048	G12	12	PCA	27016487318983391	2251799813685248
M048	G12	12	RBF	54033023567528873	4503599627370496
M048	G12	12	CPA	103326920792963899	9007199254740992
M048	G12	12	scGen	6751069789741459	562949953421312
M048	G12	12	CellOT	106993310030829583	9007199254740992
M049	G12	12	NC	54033342716919415	4503599627370496
M049	G12	12	CM	108066080676938211	9007199254740992
M049	G12	12	TW	13508264693761765	1125899906842624
M049	G12	12	PCA	13508264693761765	1125899906842624
M049	G12	12	RBF	108066208340998745	9007199254740992
M049	G12	12	CPA	1614695196393343	140737488355328
M049	G12	12	scGen	108017820350466477	9007199254740992
M049	G12	12	CellOT	26748474723851437	2251799813685248
M050	G12	12	NC	54033388816806021	4503599627370496
M050	G12	12	CM	108066914358724741	9007199254740992
M050	G12	12	TW	108066946212298251	9007199254740992
M050	G12	12	PCA	108066946212298251	9007199254740992
M050	G12	12	RBF	108067003634588491	9007199254740992
M050	G12	12	CPA	103366962411490429	9007199254740992
M050	G12	12	scGen	108019009470224767	9007199254740992
M050	G12	12	CellOT	107002475818253173	9007199254740992
M051	G12	12	NC	108066784887622095	9007199254740992
M051	G12	12	CM	6754183189831771	562949953421312
M051	G12	12	TW	54033483392452497	4503599627370496
M051	G12	12	PCA	54033483392452497	4503599627370496
M051	G12	12	RBF	108067022923810433	9007199254740992
M051	G12	12	CPA	103346065475471541	9007199254740992
M051	G12	12	scGen	108017497009445199	9007199254740992
M051	G12	12	CellOT	53502534731111683	4503599627370496
M052	G12	12	NC	108066790466220295	9007199254740992
M052	G12	12	CM	54033121878289737	4503599627370496
M052	G12	12	TW	108066282539299145	9007199254740992
M052	G12	12	PCA	108066282539299145	9007199254740992
M052	G12	12	RBF	27016592554510543	2251799813685248
M052	G12	12	CPA	51667103726988979	4503599627370496
M052	G12	12	scGen	108017917173735813	9007199254740992
M052	G12	12	CellOT	6687230682638951	562949953421312
M053	G12	12	NC	54033399232680405	4503599627370496
M053	G12	12	CM	27016831278497473	2251799813685248
M053	G12	12	TW	6754209726474203	562949953421312
M053	G12	12	PCA	6754209726474203	562949953421312
M053	G12	12	RBF	54033697608506583	4503599627370496
M053	G12	12	CPA	103367209124088625	9007199254740992
M053	G12	12	scGen	54008867437113713	4503599627370496
M053	G12	12	CellOT	53501561635029151	4503599627370496
M054	G12	12	NC	108066813048698073	9007199254740992
M054	G12	12	CM	108066981383488643	9007199254740992
M054	G12	12	TW	54033506318114119	4503599627370496
M054	G12	12	PCA	54033506318114119	4503599627370496
M054	G12	12	RBF	108067068719986527	9007199254740992
M054	G12	12	CPA	51676831187487327	4503599627370496
M054	G12	12	scGen	54008947526355525	4503599627370496
M054	G12	12	CellOT	26751690014359725	2251799813685248
M055	G12	12	NC	54033412940653163	4503599627370496
M055	G12	12	CM	6754144423833961	562949953421312
M055	G12	12	TW	27016587240807283	2251799813685248
M055	G12	12	PCA	27016587240807283	2251799813685248
M055	G12	12	RBF	6754152206465013	562949953421312
M055	G12	12	CPA	103320907417462183	9007199254740992
M055	G12	12	scGen	6751050172263881	562949953421312
M055	G12	12	CellOT	106999975161408943	9007199254740992
M056	G12	12	NC	54033413995099667	4503599627370496
M056	G12	12	CM	108067149994651251	9007199254740992
M056	G12	12	TW	54033590455194397	4503599627370496
M056	G12	12	PCA	54033590455194397	4503599627370496
M056	G12	12	RBF	54033614962963763	4503599627370496
M056	G12	12	CPA	103367234151184707	9007199254740992
M056	G12	12	scGen	108018598767314183	9007199254740992
M056	G12	12	CellOT	107007348922015065	9007199254740992
M057	G12	12	NC	108066840822807587	9007199254740992
M057	G12	12	CM	844269370253953	70368744177664
M057	G12	12	TW	13508314654673711	1125899906842624
M057	G12	12	PCA	13508314654673711	1125899906842624
M057	G12	12	RBF	108066596509381207	9007199254740992
M057	G12	12	CPA	25833619798418059	2251799813685248
M057	G12	12	scGen	108017506470825229	9007199254740992
M057	G12	12	CellOT	26750141006496277	2251799813685248
M058	G12	12	NC	108066862199130609	9007199254740992
M058	G12	12	CM	108066110542033167	9007199254740992
M058	G12	12	TW	108066145759196205	9007199254740992
M058	G12	12	PCA	108066145759196205	9007199254740992
M058	G12	12	RBF	54033121868206215	4503599627370496
M058	G12	12	CPA	51680336509549109	4503599627370496
M058	G12	12	scGen	108018184268187691	9007199254740992
M058	G12	12	CellOT	106988982710396179	9007199254740992
M059	G12	12	NC	108066866975727727	9007199254740992
M059	G12	12	CM	108066896045477709	9007199254740992
M059	G12	12	TW	13508366097448283	1125899906842624
M059	G12	12	PCA	13508366097448283	1125899906842624
M059	G12	12	RBF	108066991013702959	9007199254740992
M059	G12	12	CPA	51678786407800845	4503599627370496
M059	G12	12	scGen	108017553947065177	9007199254740992
