allocation	depth_per_gemgroup	cells_per_role	effect_model	state_model	d_S	V	d_D	n_tasks	crossing_unit_count	d_D_predicted	identity_residual	condition_strict_raw	expected_crossing	observed_crossing	S_tie	D_tie	classification
4	135	1080	direct_effect_ridge	CPA_0.8.8	0.07045803725431074	0.001759209025422871	0.07221724627973361	55	0	0.07221724627973361	0.0	False	False	False	False	False	effect_preferred_both
5	8	64	direct_effect_ridge	additive	-0.011520535536751192	0.03068120717871799	0.019160671641966807	55	46	0.019160671641966796	1.0408340855860843e-17	True	True	True	False	False	state_to_effect
5	8	64	direct_effect_ridge	compositional_ridge	-0.01231177160167651	0.03068120717871799	0.018369435577041487	55	41	0.01836943557704148	6.938893903907228e-18	True	True	True	False	False	state_to_effect
5	8	64	direct_effect_ridge	CPA_0.8.8	0.051794353050561195	0.03068120717871799	0.0824755602292792	55	4	0.08247556022927918	1.3877787807814457e-17	False	False	False	False	False	effect_preferred_both
5	16	128	direct_effect_ridge	additive	-0.003112989096898382	0.01584263199587631	0.012729642898977935	55	36	0.01272964289897793	5.204170427930421e-18	True	True	True	False	False	state_to_effect
5	16	128	direct_effect_ridge	compositional_ridge	-0.003904225161823699	0.01584263199587631	0.011938406834052616	55	33	0.011938406834052612	3.469446951953614e-18	True	True	True	False	False	state_to_effect
5	16	128	direct_effect_ridge	CPA_0.8.8	0.06203895058072013	0.01584263199587631	0.07788158257659643	55	2	0.07788158257659644	-1.3877787807814457e-17	False	False	False	False	False	effect_preferred_both
5	32	256	direct_effect_ridge	additive	0.0009589828802661845	0.007596758826210528	0.008555741706476718	55	19	0.008555741706476713	5.204170427930421e-18	False	False	False	False	False	effect_preferred_both
5	32	256	direct_effect_ridge	compositional_ridge	0.00016774681534086766	0.007596758826210528	0.0077645056415513985	55	27	0.007764505641551396	2.6020852139652106e-18	False	False	False	False	False	effect_preferred_both
5	32	256	direct_effect_ridge	CPA_0.8.8	0.06678733049567667	0.007596758826210528	0.07438408932188721	55	2	0.0743840893218872	1.3877787807814457e-17	False	False	False	False	False	effect_preferred_both
5	64	512	direct_effect_ridge	additive	0.0028883566435277883	0.0037098968242642583	0.0065982534677920465	55	9	0.0065982534677920465	0.0	False	False	False	False	False	effect_preferred_both
5	64	512	direct_effect_ridge	compositional_ridge	0.002097120578602471	0.0037098968242642583	0.00580701740286673	55	15	0.005807017402866729	8.673617379884035e-19	False	False	False	False	False	effect_preferred_both
5	64	512	direct_effect_ridge	CPA_0.8.8	0.06847212327061303	0.0037098968242642583	0.07218202009487729	55	0	0.07218202009487729	0.0	False	False	False	False	False	effect_preferred_both
5	128	1024	direct_effect_ridge	additive	0.0037961159090495336	0.0019349664926630059	0.00573108240171254	55	4	0.005731082401712539	8.673617379884035e-19	False	False	False	False	False	effect_preferred_both
5	128	1024	direct_effect_ridge	compositional_ridge	0.003004879844124216	0.0019349664926630059	0.004939846336787221	55	11	0.004939846336787222	-8.673617379884035e-19	False	False	False	False	False	effect_preferred_both
