completed_epoch	autoencoder_lr	doser_lr	adversary_lr
278	5.314410000000002e-05	5.314410000000002e-05	5.314410000000002e-05
279	5.314410000000002e-05	5.314410000000002e-05	5.314410000000002e-05
280	5.314410000000002e-05	5.314410000000002e-05	5.314410000000002e-05
281	5.314410000000002e-05	5.314410000000002e-05	5.314410000000002e-05
282	5.314410000000002e-05	5.314410000000002e-05	5.314410000000002e-05
283	5.314410000000002e-05	5.314410000000002e-05	5.314410000000002e-05
284	5.314410000000002e-05	5.314410000000002e-05	5.314410000000002e-05
285	5.314410000000002e-05	5.314410000000002e-05	5.314410000000002e-05
286	5.314410000000002e-05	5.314410000000002e-05	5.314410000000002e-05
287	5.314410000000002e-05	5.314410000000002e-05	5.314410000000002e-05
288	5.314410000000002e-05	5.314410000000002e-05	5.314410000000002e-05
289	5.314410000000002e-05	5.314410000000002e-05	5.314410000000002e-05
290	5.314410000000002e-05	5.314410000000002e-05	5.314410000000002e-05
291	5.314410000000002e-05	5.314410000000002e-05	5.314410000000002e-05
292	5.314410000000002e-05	5.314410000000002e-05	5.314410000000002e-05
293	5.314410000000002e-05	5.314410000000002e-05	5.314410000000002e-05
294	5.314410000000002e-05	5.314410000000002e-05	5.314410000000002e-05
295	5.314410000000002e-05	5.314410000000002e-05	5.314410000000002e-05
296	5.314410000000002e-05	5.314410000000002e-05	5.314410000000002e-05
297	5.314410000000002e-05	5.314410000000002e-05	5.314410000000002e-05
298	5.314410000000002e-05	5.314410000000002e-05	5.314410000000002e-05
299	5.314410000000002e-05	5.314410000000002e-05	5.314410000000002e-05
300	5.314410000000002e-05	5.314410000000002e-05	5.314410000000002e-05
301	5.314410000000002e-05	5.314410000000002e-05	5.314410000000002e-05
302	5.314410000000002e-05	5.314410000000002e-05	5.314410000000002e-05
303	5.314410000000002e-05	5.314410000000002e-05	5.314410000000002e-05
304	5.314410000000002e-05	5.314410000000002e-05	5.314410000000002e-05
305	5.314410000000002e-05	5.314410000000002e-05	5.314410000000002e-05
306	5.314410000000002e-05	5.314410000000002e-05	5.314410000000002e-05
307	5.314410000000002e-05	5.314410000000002e-05	5.314410000000002e-05
308	5.314410000000002e-05	5.314410000000002e-05	5.314410000000002e-05
309	5.314410000000002e-05	5.314410000000002e-05	5.314410000000002e-05
310	5.314410000000002e-05	5.314410000000002e-05	5.314410000000002e-05
311	5.314410000000002e-05	5.314410000000002e-05	5.314410000000002e-05
312	5.314410000000002e-05	5.314410000000002e-05	5.314410000000002e-05
313	5.314410000000002e-05	5.314410000000002e-05	5.314410000000002e-05
314	5.314410000000002e-05	5.314410000000002e-05	5.314410000000002e-05
315	4.782969000000002e-05	4.782969000000002e-05	4.782969000000002e-05
316	4.782969000000002e-05	4.782969000000002e-05	4.782969000000002e-05
317	4.782969000000002e-05	4.782969000000002e-05	4.782969000000002e-05
318	4.782969000000002e-05	4.782969000000002e-05	4.782969000000002e-05
319	4.782969000000002e-05	4.782969000000002e-05	4.782969000000002e-05
320	4.782969000000002e-05	4.782969000000002e-05	4.782969000000002e-05
321	4.782969000000002e-05	4.782969000000002e-05	4.782969000000002e-05
322	4.782969000000002e-05	4.782969000000002e-05	4.782969000000002e-05
323	4.782969000000002e-05	4.782969000000002e-05	4.782969000000002e-05
324	4.782969000000002e-05	4.782969000000002e-05	4.782969000000002e-05
325	4.782969000000002e-05	4.782969000000002e-05	4.782969000000002e-05
326	4.782969000000002e-05	4.782969000000002e-05	4.782969000000002e-05
327	4.782969000000002e-05	4.782969000000002e-05	4.782969000000002e-05
328	4.782969000000002e-05	4.782969000000002e-05	4.782969000000002e-05
329	4.782969000000002e-05	4.782969000000002e-05	4.782969000000002e-05
330	4.782969000000002e-05	4.782969000000002e-05	4.782969000000002e-05
331	4.782969000000002e-05	4.782969000000002e-05	4.782969000000002e-05
332	4.782969000000002e-05	4.782969000000002e-05	4.782969000000002e-05
333	4.782969000000002e-05	4.782969000000002e-05	4.782969000000002e-05
334	4.782969000000002e-05	4.782969000000002e-05	4.782969000000002e-05
335	4.782969000000002e-05	4.782969000000002e-05	4.782969000000002e-05
336	4.782969000000002e-05	4.782969000000002e-05	4.782969000000002e-05
337	4.782969000000002e-05	4.782969000000002e-05	4.782969000000002e-05
338	4.782969000000002e-05	4.782969000000002e-05	4.782969000000002e-05
339	4.782969000000002e-05	4.782969000000002e-05	4.782969000000002e-05
340	4.782969000000002e-05	4.782969000000002e-05	4.782969000000002e-05
341	4.782969000000002e-05	4.782969000000002e-05	4.782969000000002e-05
342	4.782969000000002e-05	4.782969000000002e-05	4.782969000000002e-05
343	4.782969000000002e-05	4.782969000000002e-05	4.782969000000002e-05
344	4.782969000000002e-05	4.782969000000002e-05	4.782969000000002e-05
345	4.782969000000002e-05	4.782969000000002e-05	4.782969000000002e-05
346	4.782969000000002e-05	4.782969000000002e-05	4.782969000000002e-05
347	4.782969000000002e-05	4.782969000000002e-05	4.782969000000002e-05
348	4.782969000000002e-05	4.782969000000002e-05	4.782969000000002e-05
349	4.782969000000002e-05	4.782969000000002e-05	4.782969000000002e-05
350	4.782969000000002e-05	4.782969000000002e-05	4.782969000000002e-05
351	4.782969000000002e-05	4.782969000000002e-05	4.782969000000002e-05
352	4.782969000000002e-05	4.782969000000002e-05	4.782969000000002e-05
353	4.782969000000002e-05	4.782969000000002e-05	4.782969000000002e-05
354	4.782969000000002e-05	4.782969000000002e-05	4.782969000000002e-05
355	4.782969000000002e-05	4.782969000000002e-05	4.782969000000002e-05
356	4.782969000000002e-05	4.782969000000002e-05	4.782969000000002e-05
