cohort	assignment_index	prediction_index	label_id	inference_block	observation_block	evaluation	mse_S	mse_D	mse_D_minus_S	mae_S	mae_D	mae_D_minus_S	prediction_mae_difference	donor_count	task_count	D_lower_mse_donors	D_lower_mae_donors	D_lower_mse_tasks	D_lower_mae_tasks
extension39_four_types	48	12	400	1	1	shared_observation	0.011129156927931228	0.014025933109518081	0.0028967761815868556	0.07820751667224904	0.09016664695834423	0.011959130286095177	0.0539070214841081	39	156	7	5	27	27
extension34_five_types	48	12	400	1	1	shared_observation	0.01051011542988581	0.013735722040201594	0.003225606610315785	0.07627639434525321	0.0889632635436419	0.012686869198388687	0.053893937148977604	34	170	3	3	28	27
primary39_two_types	49	12	400	1	2	independent_observation	0.022456415445213113	0.01920567551712092	-0.003250739928092191	0.11486659405017054	0.10731865950016349	-0.007547934550007044	0.05976611967010801	39	78	30	25	54	55
extension39_four_types	49	12	400	1	2	independent_observation	0.018069364254691977	0.014870585679850655	-0.0031987785748413206	0.10285964399509373	0.09322972213875605	-0.009629921856337677	0.0539070214841081	39	156	32	33	125	125
extension34_five_types	49	12	400	1	2	independent_observation	0.01765294538761746	0.014325971388122874	-0.003326973999494579	0.1020409102942685	0.09177445243243787	-0.010266457861830641	0.053893937148977604	34	170	30	31	138	135
primary39_two_types	50	12	400	1	3	independent_observation	0.022607547931333943	0.018493024176829187	-0.004114523754504754	0.11595851333491562	0.10457255941195494	-0.011385953922960712	0.05976611967010801	39	78	32	32	58	57
extension39_four_types	50	12	400	1	3	independent_observation	0.017706269488657816	0.014004431313169328	-0.0037018381754884843	0.10209406513243392	0.08985315819341355	-0.012240906939020383	0.0539070214841081	39	156	36	38	128	130
extension34_five_types	50	12	400	1	3	independent_observation	0.017185798828779277	0.0135164608285708	-0.0036693380002084733	0.10075559024292129	0.08860049069521554	-0.012155099547705757	0.053893937148977604	34	170	33	33	140	139
primary39_two_types	51	12	400	1	all_excluding_input	deeper_observation	0.010153953510736042	0.005694035164016242	-0.0044599183467198015	0.07485785949102598	0.051938078623602724	-0.022919780867423266	0.05976611967010801	39	78	33	35	69	70
extension39_four_types	51	12	400	1	all_excluding_input	deeper_observation	0.007847539858295245	0.003987683399474317	-0.003859856458820927	0.06563727155707111	0.04131835034244944	-0.024318921214621658	0.0539070214841081	39	156	37	38	144	147
