label_id	inference_block	observation_block	evaluation	program_mse_S	program_mse_D	program_mse_D_minus_S	program_mae_S	program_mae_D	program_mae_D_minus_S	program_prediction_mae_difference	negative_task_mse_deltas	negative_donor_mse_deltas
700	3	1	independent_observation	0.0163952399005309	0.011793459321764888	-0.0046017805787660114	0.09732910509677156	0.08267790330582714	-0.01465120179094443	0.05578475676966186	36	8
700	3	2	independent_observation	0.01648296076664475	0.01260328818194323	-0.0038796725847015157	0.09840335570653731	0.08714714638683509	-0.011256209319702226	0.05578475676966186	34	8
700	3	3	shared_observation	0.010029399265526096	0.013520218825508565	0.003490819559982469	0.07206768710886492	0.08910094072622458	0.017033253617359655	0.05578475676966186	2	1
800	1	1	shared_observation	0.009718261572701975	0.011998774911262415	0.002280513338560439	0.07004228643678442	0.08441691024566796	0.014374623808883527	0.05621618262737304	4	1
800	1	2	independent_observation	0.018131961228900602	0.013067752537060323	-0.00506420869184028	0.10356219280908757	0.08866128337781552	-0.014900909431272041	0.05621618262737304	36	8
800	1	3	independent_observation	0.017136511995909768	0.01261255901779271	-0.00452395297811706	0.09900297412383097	0.0854200192570745	-0.013582954866756454	0.05621618262737304	36	8
800	2	1	independent_observation	0.01666741943667912	0.011998774911262415	-0.0046686445254167045	0.0981331717015266	0.08441691024566796	-0.013716261455858636	0.05439334620088197	35	8
800	2	2	shared_observation	0.010258159312789568	0.013067752537060323	0.0028095932242707573	0.07439758792692437	0.08866128337781552	0.014263695450891147	0.05439334620088197	7	1
800	2	3	independent_observation	0.016481845109710052	0.01261255901779271	-0.0038692860919173422	0.09717784024969686	0.0854200192570745	-0.01175782099262236	0.05439334620088197	33	8
800	3	1	independent_observation	0.016438696002625798	0.011998774911262415	-0.004439921091363383	0.09630360093573816	0.08441691024566796	-0.01188669069007022	0.05751944526912894	33	7
800	3	2	independent_observation	0.016945791383296632	0.013067752537060323	-0.003878038846236308	0.09883178687707271	0.08866128337781552	-0.010170503499257189	0.05751944526912894	33	7
800	3	3	shared_observation	0.00940341781334159	0.01261255901779271	0.003209141204451122	0.06864925782646043	0.0854200192570745	0.016770761430614057	0.05751944526912894	3	1
900	1	1	shared_observation	0.011149867107278846	0.013994009058416572	0.002844141951137728	0.07791940628354292	0.09136071580629561	0.01344130952275266	0.055059108544979675	8	1
900	1	2	independent_observation	0.016589067009107946	0.012038818047774348	-0.0045502489613335985	0.09914994708266198	0.08571850727682498	-0.013431439805837019	0.055059108544979675	37	8
900	1	3	independent_observation	0.018683632152264016	0.013050316796255085	-0.005633315356008934	0.10223891864031902	0.08713389360146846	-0.015105025038850521	0.055059108544979675	34	8
900	2	1	independent_observation	0.018546392336566478	0.013994009058416572	-0.004552383278149907	0.10392354753055154	0.09136071580629561	-0.012562831724255945	0.0568856732866041	34	8
900	2	2	shared_observation	0.009623492041275975	0.012038818047774348	0.002415326006498375	0.0723152217042254	0.08571850727682498	0.013403285572599573	0.0568856732866041	5	1
900	2	3	independent_observation	0.01885384620668384	0.013050316796255085	-0.005803529410428758	0.10158316689772409	0.08713389360146846	-0.014449273296255604	0.0568856732866041	33	8
900	3	1	independent_observation	0.017279997854835208	0.013994009058416572	-0.0032859887964186343	0.10024614895780472	0.09136071580629561	-0.008885433151509104	0.05772768997957839	35	7
900	3	2	independent_observation	0.01569795592026321	0.012038818047774348	-0.003659137872488862	0.09520590872608418	0.08571850727682498	-0.009487401449259216	0.05772768997957839	36	8
900	3	3	shared_observation	0.010268083470805947	0.013050316796255085	0.0027822333254491354	0.07141428161308865	0.08713389360146846	0.015719611988379827	0.05772768997957839	6	2
