cohort	program_id	mse_S	mse_D	mse_D_minus_S	contribution_to_all37_mse_delta	contribution_to_secondary_without_IFNa36	mae_S	mae_D	mae_D_minus_S
extension39_four_types	HALLMARK_ANDROGEN_RESPONSE	0.022587645773915095	0.01589303242573819	-0.006694613348176906	-0.00018093549589667313	-0.00018596148189380294	0.12309441522835683	0.10251239666227184	-0.020582018566084992
extension39_four_types	HALLMARK_APICAL_JUNCTION	0.024905154025453933	0.01738453673711154	-0.007520617288342392	-0.00020325992671195654	-0.00020890603578728865	0.12013957606984557	0.10278347023924705	-0.017356105830598517
extension39_four_types	HALLMARK_APOPTOSIS	0.009936725541048241	0.008741188231201938	-0.0011955373098463031	-3.231181918503522e-05	-3.320936971795287e-05	0.07921669749311287	0.07388584365008949	-0.005330853843023384
extension39_four_types	HALLMARK_COAGULATION	0.025739846083245407	0.01618294493279173	-0.009556901150453677	-0.00025829462568793723	-0.000265469476401491	0.11765739238435297	0.09888922494127887	-0.018768167443074094
extension39_four_types	HALLMARK_COMPLEMENT	0.015151158804993601	0.010862550815604312	-0.004288607989389289	-0.00011590832403754836	-0.00011912799970525803	0.09086636924414379	0.0762722725952219	-0.01459409664892189
extension39_four_types	HALLMARK_DNA_REPAIR	0.010808017181280714	0.008488772223415694	-0.0023192449578650198	-6.268229615851405e-05	-6.44234710518061e-05	0.08393298167438244	0.07606681187897972	-0.007866169795402722
extension39_four_types	HALLMARK_E2F_TARGETS	0.013305197801439695	0.010221314487560293	-0.0030838833138794024	-8.334819767241628e-05	-8.566342538553895e-05	0.09099788593400943	0.0822802989656079	-0.008717586968401525
extension39_four_types	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.01717053129728826	0.013673105534838569	-0.0034974257624496904	-9.452502060674838e-05	-9.715071562360251e-05	0.10227534479837838	0.0939602964699407	-0.008315048328437685
extension39_four_types	HALLMARK_ESTROGEN_RESPONSE_LATE	0.01618352257010175	0.012605237691010775	-0.0035782848790909746	-9.671040213759391e-05	-9.939680219697152e-05	0.10496555273468244	0.09344201762884985	-0.011523535105832594
extension39_four_types	HALLMARK_FATTY_ACID_METABOLISM	0.015698414152670318	0.011893981908388297	-0.0038044322442820216	-0.00010282249308870329	-0.00010567867345227837	0.09671581293629201	0.08571859666345145	-0.01099721627284056
extension39_four_types	HALLMARK_G2M_CHECKPOINT	0.014549716925929473	0.010702981087192788	-0.0038467358387366847	-0.00010396583347936986	-0.00010685377329824124	0.09590653810977301	0.08265985820854208	-0.013246679901230934
extension39_four_types	HALLMARK_GLYCOLYSIS	0.015303657688996183	0.010970546600890502	-0.004333111088105681	-0.00011711111048934274	-0.00012036419689182449	0.09845153632399506	0.08490082147083845	-0.013550714853156606
extension39_four_types	HALLMARK_HEME_METABOLISM	0.012105735347250955	0.008907367945201894	-0.0031983674020490613	-8.64423622175422e-05	-8.884353894580726e-05	0.08512416502963649	0.0770632400998582	-0.008060924929778293
extension39_four_types	HALLMARK_HYPOXIA	0.011000834761940225	0.00889860061526202	-0.0021022341466782057	-5.681713909941097e-05	-5.8395392963283494e-05	0.08656247848066795	0.07496474158847909	-0.011597736892188862
extension39_four_types	HALLMARK_IL2_STAT5_SIGNALING	0.013869080520895012	0.011593420861233512	-0.0022756596596615	-6.150431512598649e-05	-6.321276832393056e-05	0.09414590821812233	0.08924384277111287	-0.004902065447009454
extension39_four_types	HALLMARK_IL6_JAK_STAT3_SIGNALING	0.03116993169268046	0.026674299414819386	-0.004495632277861074	-0.00012150357507732631	-0.00012487867438502984	0.13907989802261203	0.13014962050224602	-0.008930277520366015
extension39_four_types	HALLMARK_INFLAMMATORY_RESPONSE	0.016680334906135807	0.014118300004255699	-0.0025620349018801083	-6.924418653730022e-05	-7.116763616333634e-05	0.1018225780291135	0.08884903654995323	-0.012973541479160272
extension39_four_types	HALLMARK_INTERFERON_ALPHA_RESPONSE	0.061124690978858344	0.06137396242763405	0.0002492714487757064	6.7370661831272e-06	0.0	0.1897154805234882	0.18562529742706246	-0.004090183096425726
extension39_four_types	HALLMARK_INTERFERON_GAMMA_RESPONSE	0.03554877551891005	0.037096506992021536	0.0015477314731114841	4.183058035436444e-05	4.2992540919763446e-05	0.14773658374730542	0.1484745999363091	0.0007380161890036818
extension39_four_types	HALLMARK_KRAS_SIGNALING_UP	0.018525143479650636	0.015175979365623543	-0.0033491641140270933	-9.051794902775928e-05	-9.30323365007526e-05	0.11020221850033268	0.0988807823630873	-0.011321436137245386
extension39_four_types	HALLMARK_MITOTIC_SPINDLE	0.018400210544644354	0.013818681147518759	-0.004581529397125595	-0.0001238251188412323	-0.00012726470547571098	0.11063220609561357	0.09583742110979465	-0.014794784985818918
extension39_four_types	HALLMARK_MTORC1_SIGNALING	0.013513979288201847	0.009815496359734742	-0.0036984829284671047	-9.99589980666785e-05	-0.00010273563690186402	0.08980809187058066	0.0787531879632238	-0.011054903907356861
extension39_four_types	HALLMARK_MYC_TARGETS_V1	0.011390892157331365	0.008971417738489503	-0.002419474418841862	-6.539120050923951e-05	-6.720762274560727e-05	0.08227203674876767	0.07182238830320632	-0.010449648445561344
extension39_four_types	HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.00967306477315996	0.00800117177460082	-0.0016718929985591394	-4.5186297258355115e-05	-4.6441472182198314e-05	0.07618847363454403	0.06853776030944664	-0.007650713325097397
extension39_four_types	HALLMARK_P53_PATHWAY	0.012540575239410776	0.010431132142844184	-0.0021094430965665923	-5.701197558288087e-05	-5.859564157129423e-05	0.0927991615377893	0.08455158514680361	-0.008247576390985695
extension39_four_types	HALLMARK_PEROXISOME	0.02486691212212153	0.01743917089779982	-0.007427741224321709	-0.00020074976281950563	-0.00020632614512004747	0.12828125909451732	0.10611090011501079	-0.022170358979506533
extension39_four_types	HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.013926519338111584	0.010859507464219648	-0.003067011873891936	-8.289221280789016e-05	-8.519477427477599e-05	0.09383967824817545	0.08428638586713255	-0.009553292381042897
extension39_four_types	HALLMARK_PROTEIN_SECRETION	0.015784788779675634	0.011681900561789723	-0.004102888217885911	-0.00011088887075367328	-0.00011396911716349754	0.09880643966167077	0.08750234122067164	-0.011304098440999125
