cohort	donor_id	batch_id	mse_S	mse_D	mse_D_minus_S	mae_S	mae_D	mae_D_minus_S	prediction_mae_difference	orientation
extension34_five_types	V28	B06	0.01843876122819445	0.01117835782785121	-0.0072604034003432415	0.10023570384109808	0.07799550991915663	-0.022240193921941463	0.058024020419541536	O1
extension34_five_types	V29	B06	0.015295177126086797	0.009766811113034348	-0.0055283660130524504	0.09459196638378538	0.07718548597622042	-0.017406480407564963	0.055523607805904304	O2
extension34_five_types	V30	B06	0.02763434602046736	0.03148135161745667	0.0038470055969893066	0.11826352123895885	0.11968719802602354	0.0014236767870647066	0.051373816838038745	O2
extension34_five_types	V31	B07	0.016323934493725507	0.01433298486141992	-0.0019909496323055856	0.09581169007173829	0.09224737358609103	-0.0035643164856472647	0.054272960146428864	O1
extension34_five_types	V32	B07	0.024455394708982447	0.01654347549237326	-0.007911919216609189	0.12340286350895542	0.10015860310084308	-0.023244260408112335	0.0698355123103878	O1
extension34_five_types	V33	B07	0.016778607549825686	0.012142082334208494	-0.004636525215617193	0.10033919057516363	0.08664079553580728	-0.01369839503935634	0.061303625371688354	O1
extension34_five_types	V34	B07	0.01704989148447269	0.01274872181855972	-0.004301169665912969	0.10576584721186233	0.08958582992023056	-0.01618001729163177	0.04887298794359789	O2
extension34_five_types	V35	B07	0.01455613024979593	0.013605953122435038	-0.0009501771273608895	0.09355878536831955	0.08960176630239558	-0.0039570190659239555	0.05370379251079701	O2
extension34_five_types	V36	B08	0.0137406101213116	0.009705837951896407	-0.004034772169415194	0.09496765158346643	0.08163276862836898	-0.013334882955097448	0.053911199606407535	O1
extension34_five_types	V37	B08	0.030647846606732386	0.01630381778118812	-0.014344028825544275	0.13445246085996382	0.10367317688453666	-0.03077928397542714	0.062073242394071346	O1
extension34_five_types	V38	B08	0.01844822986513911	0.013763898617477741	-0.004684331247661371	0.1076568473082495	0.08748005608892181	-0.0201767912193277	0.051635948928707154	O1
extension34_five_types	V39	B08	0.013788761274152956	0.011146130872098588	-0.00264263040205437	0.09101503048757642	0.08299492888480968	-0.008020101602766738	0.05243973622124398	O2
