alpha	fold	condition	standardized_mse
1	1	FOXF1+FOXL2	0.042513205335534154
1	1	FOXL2+MEIS1	0.034461909434206774
1	1	MAP2K3+MAP2K6	0.0043797066302904654
1	1	PTPN9+UBASH3B	0.014721820273369567
1	1	SNAI1+UBASH3B	0.01151706497277495
1	2	BCL2L11+TGFBR2	0.0053133946718226513
1	2	CBL+TGFBR2	0.015644680407424377
1	2	CEBPB+OSR2	0.031488336178420284
1	2	CEBPE+SET	0.01664970439959013
1	2	DUSP9+KLF1	0.020176854730509036
1	2	DUSP9+MAPK1	0.017967337967617271
1	2	ETS2+MAP7D1	0.023442162178756991
1	2	FOXF1+HOXB9	0.020841770509688003
1	2	IER5L+LYL1	0.035268067520684641
1	2	IKZF3+MAPK1	0.013449214246767656
1	2	IRF1+SET	0.031551359761171446
1	3	AHR+FEV	0.048192672573288894
1	3	BAK1+BCL2L11	0.0072790869528840726
1	3	CEBPE+RUNX1T1	0.0041644161740428268
1	3	CNN1+UBASH3B	0.041666222267658017
1	3	ELMSAN1+MAP2K3	0.011967596326149835
1	3	FOXA1+KLF1	0.016011690251100996
1	3	IKZF3+MAP2K3	0.016485709132358233
1	3	KLF1+MAP2K6	0.0066510020054809313
1	3	KLF1+SET	0.016370324357179198
1	3	PTPN12+ZBTB25	0.023605230897195965
1	3	S1PR2+SGK1	0.037709703605759794
1	4	BPGM+SAMD1	0.0197082383966408
1	4	CEBPA+CEBPE	0.021744507174604265
1	4	CEBPB+LYL1	0.017472823988431585
1	4	CEBPE+ZC3HAV1	0.015554533899887438
1	4	CNN1+MAPK1	0.010575950088590731
1	4	ELMSAN1+MAP2K6	0.0076268316155311735
1	4	FOXA1+FOXF1	0.011956107893978669
1	4	FOXA3+FOXF1	0.015806498996561696
1	4	MAP2K3+SLC38A2	0.0077542929719606052
1	4	MAPK1+PRTG	0.0075115763654695772
1	4	RHOXF2B+SET	0.029380174513955467
10	0	AHR+KLF1	0.024080163270706827
10	0	CEBPA+KLF1	0.15136253806648847
10	0	DUSP9+ETS2	0.029397803645062226
10	0	DUSP9+IGDCC3	0.083990245317276932
10	0	ELMSAN1+LHX1	0.035778656391581093
10	0	FEV+MAP7D1	0.065183375603910063
10	0	IGDCC3+MAPK1	0.018165524312461025
10	0	IKZF3+MAP2K6	0.062401343524700177
10	0	MAP2K6+SPI1	0.029979932953329055
10	0	PTPN12+PTPN9	0.068241969321530149
10	0	PTPN12+UBASH3B	0.053752606447816056
10	1	C19orf26+TGFBR2	0.041505391808569013
10	1	CEBPE+FOSB	0.139012517881973
10	1	CEBPE+KLF1	0.018009955753644509
10	1	ETS2+MAPK1	0.080702775242854394
10	1	ETS2+PRTG	0.029600270074411496
10	1	FEV+ISL2	0.10251000321922862
10	1	FOXF1+FOXL2	0.11081255987568664
10	1	FOXL2+MEIS1	0.080219818439144261
10	1	MAP2K3+MAP2K6	0.014516635902261626
10	1	PTPN9+UBASH3B	0.065841957892519204
10	1	SNAI1+UBASH3B	0.042303198689861425
10	2	BCL2L11+TGFBR2	0.0063700620431909024
10	2	CBL+TGFBR2	0.038239625730665791
10	2	CEBPB+OSR2	0.11220986904311935
10	2	CEBPE+SET	0.03292479548102429
10	2	DUSP9+KLF1	0.05320400497636224
10	2	DUSP9+MAPK1	0.011626088414323787
10	2	ETS2+MAP7D1	0.048341772023420812
10	2	FOXF1+HOXB9	0.067156349291211462
10	2	IER5L+LYL1	0.083612653008556442
10	2	IKZF3+MAPK1	0.054476662447774694
10	2	IRF1+SET	0.11064992108040127
10	3	AHR+FEV	0.12486523908619418
10	3	BAK1+BCL2L11	0.0086136974113630339
10	3	CEBPE+RUNX1T1	0.014987086049171266
10	3	CNN1+UBASH3B	0.11272718731109767
10	3	ELMSAN1+MAP2K3	0.037961670153921712
10	3	FOXA1+KLF1	0.03147709364540198
10	3	IKZF3+MAP2K3	0.057239320517070445
10	3	KLF1+MAP2K6	0.022281551796152554
10	3	KLF1+SET	0.034991046845554707
10	3	PTPN12+ZBTB25	0.075615396106051933
10	3	S1PR2+SGK1	0.10585413104145172
10	4	BPGM+SAMD1	0.074944617115666981
10	4	CEBPA+CEBPE	0.15855501080990081
10	4	CEBPB+LYL1	0.041189265229560915
10	4	CEBPE+ZC3HAV1	0.01280282661448821
10	4	CNN1+MAPK1	0.024526119314887438
10	4	ELMSAN1+MAP2K6	0.022438937170001005
10	4	FOXA1+FOXF1	0.049906610726321347
10	4	FOXA3+FOXF1	0.058122214024014768
10	4	MAP2K3+SLC38A2	0.022363092400057988
10	4	MAPK1+PRTG	0.019867813331931251
10	4	RHOXF2B+SET	0.11031234832022234
100	0	AHR+KLF1	0.039212367783594632
100	0	CEBPA+KLF1	0.21096210616940061
100	0	DUSP9+ETS2	0.046312872678255658
100	0	DUSP9+IGDCC3	0.11359498174008963
100	0	ELMSAN1+LHX1	0.03983874083053203
100	0	FEV+MAP7D1	0.10001442324490514
100	0	IGDCC3+MAPK1	0.033908019194620574
100	0	IKZF3+MAP2K6	0.089369432968045129
100	0	MAP2K6+SPI1	0.036226430519763313
100	0	PTPN12+PTPN9	0.10256547864338662
100	0	PTPN12+UBASH3B	0.10063266915331655
100	1	C19orf26+TGFBR2	0.049993039459096833
100	1	CEBPE+FOSB	0.19699427623716517
100	1	CEBPE+KLF1	0.023189037486907683
100	1	ETS2+MAPK1	0.12236125070883841
100	1	ETS2+PRTG	0.042065601760204505
100	1	FEV+ISL2	0.13925887654959523
100	1	FOXF1+FOXL2	0.15794527526664751
100	1	FOXL2+MEIS1	0.092547381998225514
100	1	MAP2K3+MAP2K6	0.02435800932144612
100	1	PTPN9+UBASH3B	0.10876367165552654
100	1	SNAI1+UBASH3B	0.064190722420664287
100	2	BCL2L11+TGFBR2	0.0081555086573394317
100	2	CBL+TGFBR2	0.048181955223484632
100	2	CEBPB+OSR2	0.14560457571954408
100	2	CEBPE+SET	0.069103667787238379
100	2	DUSP9+KLF1	0.087179784467728158
100	2	DUSP9+MAPK1	0.020674897509419705
100	2	ETS2+MAP7D1	0.065263576627452732
100	2	FOXF1+HOXB9	0.10485981793357999
100	2	IER5L+LYL1	0.10434285004223877
100	2	IKZF3+MAPK1	0.10273126910508017
100	2	IRF1+SET	0.15224781375080479
100	3	AHR+FEV	0.16980089689564229
100	3	BAK1+BCL2L11	0.0094460192662087338
100	3	CEBPE+RUNX1T1	0.036682630579380912
100	3	CNN1+UBASH3B	0.16286267174515001
100	3	ELMSAN1+MAP2K3	0.05607432653662435
100	3	FOXA1+KLF1	0.04913617745389489
100	3	IKZF3+MAP2K3	0.080369015373408639
100	3	KLF1+MAP2K6	0.0343770148027173
100	3	KLF1+SET	0.059224894971997018
100	3	PTPN12+ZBTB25	0.10788120245437563
100	3	S1PR2+SGK1	0.12526581461843783
100	4	BPGM+SAMD1	0.091681570183568512
100	4	CEBPA+CEBPE	0.27908273989836496
100	4	CEBPB+LYL1	0.067451409367566703
100	4	CEBPE+ZC3HAV1	0.018481874655651896
100	4	CNN1+MAPK1	0.046250671054709799
100	4	ELMSAN1+MAP2K6	0.033113423902490058
100	4	FOXA1+FOXF1	0.080187533805456207
100	4	FOXA3+FOXF1	0.08870650630879498
100	4	MAP2K3+SLC38A2	0.030962068404294708
100	4	MAPK1+PRTG	0.036822139179472968
100	4	RHOXF2B+SET	0.16034739052443456
