alpha	fold	condition	condition_order	standardized_mse
0	3	AHR	1	0.0052209887779765601
0	3	AHR+KLF1	2	0.0052209887779765601
0	3	ARID1A	1	0
0	3	ARRDC3	1	0
0	3	ATL1	1	0
0	3	BAK1	1	0
0	3	BCL2L11	1	0.0011957444873916647
0	3	BCL2L11+TGFBR2	2	0.0011957444873916647
0	3	BCORL1	1	0
0	3	BPGM	1	0.0020655689262523706
0	3	BPGM+SAMD1	2	0.0020655689262523711
0	3	C19orf26	1	0.0033666607193497391
0	3	C19orf26+TGFBR2	2	0.0033666607193497395
0	3	C3orf72	1	0
0	3	CBFA2T3	1	0
0	3	CBL	1	0.0019642002266838017
0	3	CBL+TGFBR2	2	0.0019642002266838017
0	3	CDKN1A	1	0
0	3	CDKN1B	1	0
0	3	CDKN1C	1	0
0	3	CEBPA	1	0.013693283910586653
0	3	CEBPA+CEBPE	2	0.019546822118674576
0	3	CEBPA+KLF1	2	0.0078244174418527854
0	3	CEBPB	1	0.0071657311930263361
0	3	CEBPB+LYL1	2	0.0071572652809073056
0	3	CEBPB+OSR2	2	0.0028715276522823983
0	3	CEBPE	1	0.042588772907746666
0	3	CEBPE+FOSB	2	0.011919556739988141
0	3	CEBPE+KLF1	2	0.0075724325003958736
0	3	CEBPE+SET	2	0.0085196825832814932
0	3	CEBPE+ZC3HAV1	2	0.0030918563238702254
0	3	CELF2	1	0
0	3	CITED1	1	0
0	3	CKS1B	1	0
0	3	CLDN6	1	0
0	3	CNN1	1	0.0028735153110696437
0	3	CNN1+MAPK1	2	0.0028735153110696441
0	3	CNNM4	1	0
0	3	COL1A1	1	0
0	3	COL2A1	1	0
0	3	CSRNP1	1	0
0	3	DLX2	1	0
0	3	DUSP9	1	0.0048966863396799881
0	3	DUSP9+ETS2	2	0.0074678222190145494
0	3	DUSP9+IGDCC3	2	0.0058948596531277356
0	3	DUSP9+KLF1	2	0.013193698954105422
0	3	DUSP9+MAPK1	2	0.01141838472363604
0	3	EGR1	1	0
0	3	ELMSAN1	1	0.0020564957978967857
0	3	ELMSAN1+LHX1	2	0.0017372431069757755
0	3	ELMSAN1+MAP2K6	2	0.0021809937540149074
0	3	ETS2	1	0.0030748011919908016
0	3	ETS2+MAP7D1	2	0.0040574732403186077
0	3	ETS2+MAPK1	2	0.015515844256057777
0	3	ETS2+PRTG	2	0.0030303827845891904
0	3	FEV	1	0.0059634194840054227
0	3	FEV+ISL2	2	0.0043146480114381767
0	3	FEV+MAP7D1	2	0.0030270476868595316
0	3	FOSB	1	0.011919556739988138
0	3	FOXA1	1	0.0020159386561620966
0	3	FOXA1+FOXF1	2	0.0020159386561620966
0	3	FOXA3	1	0.0028129393132196524
0	3	FOXA3+FOXF1	2	0.0028129393132196529
0	3	FOXF1	1	0.0056511114068008399
0	3	FOXF1+FOXL2	2	0.0049756223591244436
0	3	FOXF1+HOXB9	2	0.0024912719255154345
0	3	FOXL2	1	0.0043856798629984921
0	3	FOXL2+MEIS1	2	0.0021214618117994786
0	3	FOXO4	1	0
0	3	GLB1L2	1	0
0	3	HES7	1	0
0	3	HK2	1	0
0	3	HNF4A	1	0
0	3	HOXA13	1	0
0	3	HOXB9	1	0.0024912719255154345
0	3	HOXC13	1	0
0	3	IER5L	1	0.0037691872064150385
0	3	IER5L+LYL1	2	0.0037691872064150385
0	3	IGDCC3	1	0.0037865595530659968
0	3	IGDCC3+MAPK1	2	0.0056389709001920798
0	3	IKZF3	1	0.00481579260850585
0	3	IKZF3+MAP2K6	2	0.0032720065884287207
0	3	IKZF3+MAPK1	2	0.0070549402432806049
0	3	IRF1	1	0.003673952331414656
0	3	IRF1+SET	2	0.0036739523314146564
0	3	ISL2	1	0.0043146480114381767
0	3	JUN	1	0
0	3	KIAA1804	1	0
0	3	KIF18B	1	0
0	3	KIF2C	1	0
0	3	KLF1	1	0.0037052479945985277
0	3	KMT2A	1	0
0	3	LHX1	1	0.0017372431069757753
0	3	LYL1	1	0.0041550265857474523
0	3	MAML2	1	0
0	3	MAP2K3	1	0.0039946458363740193
0	3	MAP2K3+MAP2K6	2	0.0045117152979664297
0	3	MAP2K3+SLC38A2	2	0.0013885278913017163
0	3	MAP2K6	1	0.0031045169117979621
0	3	MAP2K6+SPI1	2	0.010973076564590211
0	3	MAP4K3	1	0
0	3	MAP4K5	1	0
0	3	MAP7D1	1	0.0050343488364003467
0	3	MAPK1	1	0.011428460873678131
0	3	MAPK1+PRTG	2	0.0023802081409754075
0	3	MEIS1	1	0.0021214618117994786
0	3	MIDN	1	0
0	3	NCL	1	0
0	3	NIT1	1	0
0	3	OSR2	1	0.0028715276522823983
0	3	PLK4	1	0
0	3	POU3F2	1	0
0	3	PRDM1	1	0
0	3	PRTG	1	0.0055289260824185702
0	3	PTPN1	1	0
0	3	PTPN12	1	0.0034379938152366146
0	3	PTPN12+PTPN9	2	0.0017399326758816903
0	3	PTPN12+UBASH3B	2	0.0023599488443234993
0	3	PTPN13	1	0
0	3	PTPN9	1	0.0032780713813264817
0	3	PTPN9+UBASH3B	2	0.0021929881007519349
0	3	RHOXF2B	1	0.0045702605815822837
0	3	RHOXF2B+SET	2	0.0045702605815822837
0	3	RREB1	1	0
0	3	RUNX1T1	1	0
0	3	S1PR2	1	0
0	3	SAMD1	1	0.0020655689262523719
0	3	SET	1	0.010315789231363205
0	3	SGK1	1	0
0	3	SLC38A2	1	0.0013885278913017163
0	3	SLC4A1	1	0
0	3	SLC6A9	1	0
0	3	SNAI1	1	0.0023438172399910025
0	3	SNAI1+UBASH3B	2	0.002343817239991003
0	3	SPI1	1	0.010973076564590211
0	3	STIL	1	0
0	3	TBX2	1	0
0	3	TBX3	1	0
0	3	TGFBR2	1	0.0026157737438444388
0	3	TMSB4X	1	0
0	3	TP73	1	0
0	3	TSC22D1	1	0
0	3	UBASH3A	1	0
0	3	UBASH3B	1	0.0023292219918526788
0	3	ZBTB1	1	0
0	3	ZBTB10	1	0
0	3	ZBTB25	1	0
0	3	ZC3HAV1	1	0.0030918563238702258
0	3	ZNF318	1	0
0	3	ctrl	0	0
0	4	AHR	1	0.0050162842682870386
0	4	AHR+FEV	2	0.0073519840489642647
0	4	AHR+KLF1	2	0.0095194130392157062
0	4	ARID1A	1	0
0	4	ARRDC3	1	0
0	4	ATL1	1	0
0	4	BAK1	1	0.0013234429979688926
0	4	BAK1+BCL2L11	2	0.0013234429979688926
0	4	BCL2L11	1	0.0015627609729055962
0	4	BCL2L11+TGFBR2	2	0.0014804440295699342
0	4	BCORL1	1	0
0	4	BPGM	1	0
0	4	C19orf26	1	0.0034124576639350478
0	4	C19orf26+TGFBR2	2	0.0034124576639350482
0	4	C3orf72	1	0
0	4	CBFA2T3	1	0
0	4	CBL	1	0.0020090649170531002
0	4	CBL+TGFBR2	2	0.0020090649170531006
0	4	CDKN1A	1	0
0	4	CDKN1B	1	0
0	4	CDKN1C	1	0
0	4	CEBPA	1	0.0068116729371400222
0	4	CEBPA+KLF1	2	0.0068116729371400222
0	4	CEBPB	1	0.0027124254367731967
0	4	CEBPB+OSR2	2	0.0027124254367731975
0	4	CEBPE	1	0.0283461310817756
0	4	CEBPE+FOSB	2	0.0096349720306912415
0	4	CEBPE+KLF1	2	0.013473013150274384
0	4	CEBPE+RUNX1T1	2	0.0014074376900906538
0	4	CEBPE+SET	2	0.012991528647235313
0	4	CELF2	1	0
0	4	CITED1	1	0
0	4	CKS1B	1	0
0	4	CLDN6	1	0
0	4	CNN1	1	0.0041079898872170787
0	4	CNN1+UBASH3B	2	0.0041079898872170787
0	4	CNNM4	1	0
0	4	COL1A1	1	0
0	4	COL2A1	1	0
0	4	CSRNP1	1	0
0	4	DLX2	1	0
0	4	DUSP9	1	0.0050158792729655009
0	4	DUSP9+ETS2	2	0.0074930780387156793
0	4	DUSP9+IGDCC3	2	0.0056129609616350816
0	4	DUSP9+KLF1	2	0.012814277949344035
0	4	DUSP9+MAPK1	2	0.011371013981592345
0	4	EGR1	1	0
0	4	ELMSAN1	1	0.0018132701161417456
0	4	ELMSAN1+LHX1	2	0.0019299886301697988
0	4	ELMSAN1+MAP2K3	2	0.0023943918009644168
0	4	ETS2	1	0.0029966508894069066
0	4	ETS2+MAP7D1	2	0.0043116743566060439
0	4	ETS2+MAPK1	2	0.015127347801438361
0	4	ETS2+PRTG	2	0.0035812123512615431
0	4	FEV	1	0.010125298924121966
0	4	FEV+ISL2	2	0.0038231633640948624
0	4	FEV+MAP7D1	2	0.003142838875620611
0	4	FOSB	1	0.0096349720306912433
0	4	FOXA1	1	0.0041645028594684596
0	4	FOXA1+KLF1	2	0.0041645028594684596
0	4	FOXA3	1	0
0	4	FOXF1	1	0.005013108549147942
0	4	FOXF1+FOXL2	2	0.0045217885133195497
0	4	FOXF1+HOXB9	2	0.0022649777315826222
0	4	FOXL2	1	0.0043020224163042376
0	4	FOXL2+MEIS1	2	0.0020120125865449741
0	4	FOXO4	1	0
0	4	GLB1L2	1	0
0	4	HES7	1	0
0	4	HK2	1	0
0	4	HNF4A	1	0
0	4	HOXA13	1	0
0	4	HOXB9	1	0.0022649777315826222
0	4	HOXC13	1	0
0	4	IER5L	1	0.0023072969371019979
0	4	IER5L+LYL1	2	0.0023072969371019979
0	4	IGDCC3	1	0.0038712137840147031
0	4	IGDCC3+MAPK1	2	0.005609946771125314
0	4	IKZF3	1	0.0061487946725331958
0	4	IKZF3+MAP2K3	2	0.0039961642820178283
0	4	IKZF3+MAP2K6	2	0.002537857001116286
0	4	IKZF3+MAPK1	2	0.0073807224979013878
