dataset	regime	panel	seed	depth	unit	allocations	biological_roots	contrast	family	utility_before	utility_after	utility_gain	structural_input_unused	deterministic_seed_alias
gse162632	cap48	primary	17	4	root_03	1000	1	D_to_O	TW	-0.33119486395764763	-0.33119486395764763	-6.106226635438361e-19	True	True
gse162632	cap48	primary	17	4	root_03	1000	1	D_to_O	PCA	-0.3313209913062157	-0.3313209913062157	-1.5543122344752192e-18	True	True
gse162632	cap48	primary	17	4	root_03	1000	1	D_to_O	RBF	-0.331030267186805	-0.33103026718680495	-9.436895709313831e-19	True	True
gse162632	cap48	primary	17	4	root_03	1000	1	D_to_O	scGen	-0.5638246358846506	-0.5417726942378839	0.02205194164676706	False	False
gse162632	cap48	primary	17	4	root_03	1000	1	D_to_O	CPA	-0.7929476896704504	-0.7781085206487061	0.014839169021742565	False	False
gse162632	cap48	primary	17	4	root_03	1000	1	D_to_O	CellOT	-0.5734117683384805	-0.5495735231201848	0.023838245218293978	False	False
gse162632	cap48	primary	17	4	root_03	1000	1	D_to_P	NC	-0.3955474671934167	-0.3955474671934167	0.0	True	True
gse162632	cap48	primary	17	4	root_03	1000	1	D_to_P	CM	-0.3313393216722226	-0.3313393216722226	0.0	True	True
gse162632	cap48	primary	17	4	root_03	1000	1	D_to_P	TW	-0.33119486395764763	-0.33119486395764763	0.0	True	True
gse162632	cap48	primary	17	4	root_03	1000	1	D_to_P	PCA	-0.3313209913062157	-0.3313209913062157	0.0	True	True
gse162632	cap48	primary	17	4	root_03	1000	1	D_to_P	RBF	-0.331030267186805	-0.331030267186805	0.0	True	True
gse162632	cap48	primary	17	4	root_03	1000	1	D_to_P	scGen	-0.5638246358846506	-0.585876577536917	-0.022051941652265667	False	False
gse162632	cap48	primary	17	4	root_03	1000	1	D_to_P	CPA	-0.7929476896704504	-0.8077868586920268	-0.014839169021577283	False	False
gse162632	cap48	primary	17	4	root_03	1000	1	D_to_P	CellOT	-0.5734117683384805	-0.5972500135578259	-0.023838245219346178	False	False
gse162632	cap48	primary	17	4	root_03	1000	1	S_to_M	NC	-0.3955474671934167	-0.3955474671934167	1.482147737874584e-17	True	True
gse162632	cap48	primary	17	4	root_03	1000	1	S_to_M	CM	-0.3313393216722226	-0.3313393216722226	-8.326672684688674e-19	True	True
gse162632	cap48	primary	17	4	root_03	1000	1	S_to_M	TW	-0.33119486395764763	-0.33119486395764763	-1.4432899320127034e-18	True	True
gse162632	cap48	primary	17	4	root_03	1000	1	S_to_M	PCA	-0.3313209913062157	-0.3313209913062157	-7.771561172376096e-19	True	True
gse162632	cap48	primary	17	4	root_03	1000	1	S_to_M	RBF	-0.3310302671868049	-0.331030267186805	2.7755575615628914e-19	True	True
gse162632	cap48	primary	17	4	root_03	1000	1	S_to_M	scGen	-0.126024602228122	-0.1260246022306749	-2.5528008734676535e-12	False	False
gse162632	cap48	primary	17	4	root_03	1000	1	S_to_M	CPA	-0.3551476560695638	-0.35514765606932286	2.40219399927355e-13	False	False
gse162632	cap48	primary	17	4	root_03	1000	1	S_to_M	CellOT	-0.13561173468731771	-0.13561173468448293	2.8347577896159493e-12	False	False
gse162632	cap48	primary	17	4	root_04	1000	1	D_to_O	NC	-0.41770653454901846	-0.41770653454901846	-5.273559366969494e-18	True	True
gse162632	cap48	primary	17	4	root_04	1000	1	D_to_O	CM	-0.3373996788656769	-0.3373996788656769	-1.4988010832439613e-18	True	True
gse162632	cap48	primary	17	4	root_04	1000	1	D_to_O	TW	-0.337430568743985	-0.337430568743985	-2.0539125955565395e-18	True	True
gse162632	cap48	primary	17	4	root_04	1000	1	D_to_O	PCA	-0.3371037820725949	-0.3371037820725949	-2.0539125955565395e-18	True	True
gse162632	cap48	primary	17	4	root_04	1000	1	D_to_O	RBF	-0.3374533567054901	-0.3374533567054901	-1.27675647831893e-18	True	True
gse162632	cap48	primary	17	4	root_04	1000	1	D_to_O	scGen	-0.5725531785906692	-0.5532710135373322	0.019282165053336662	False	False
gse162632	cap48	primary	17	4	root_04	1000	1	D_to_O	CPA	-0.8020327753001361	-0.789028519101789	0.013004256198346595	False	False
gse162632	cap48	primary	17	4	root_04	1000	1	D_to_O	CellOT	-0.580162799786128	-0.5585746221371157	0.02158817764901177	False	False
gse162632	cap48	primary	17	4	root_04	1000	1	D_to_P	NC	-0.41770653454901846	-0.41770653454901846	0.0	True	True
gse162632	cap48	primary	17	4	root_04	1000	1	D_to_P	CM	-0.3373996788656769	-0.3373996788656769	0.0	True	True
gse162632	cap48	primary	17	4	root_04	1000	1	D_to_P	TW	-0.337430568743985	-0.337430568743985	0.0	True	True
gse162632	cap48	primary	17	4	root_04	1000	1	D_to_P	PCA	-0.3371037820725949	-0.3371037820725949	0.0	True	True
gse162632	cap48	primary	17	4	root_04	1000	1	D_to_P	RBF	-0.3374533567054901	-0.3374533567054901	0.0	True	True
gse162632	cap48	primary	17	4	root_04	1000	1	D_to_P	scGen	-0.5725531785906692	-0.591835343643984	-0.019282165053315575	False	False
gse162632	cap48	primary	17	4	root_04	1000	1	D_to_P	CPA	-0.8020327753001361	-0.8150370314848779	-0.013004256184742833	False	False
gse162632	cap48	primary	17	4	root_04	1000	1	D_to_P	CellOT	-0.580162799786128	-0.601750977427152	-0.021588177641024192	False	False
gse162632	cap48	primary	17	4	root_04	1000	1	S_to_M	NC	-0.41770653454901846	-0.41770653454901846	1.687538997430238e-17	True	True
gse162632	cap48	primary	17	4	root_04	1000	1	S_to_M	CM	-0.3373996788656769	-0.3373996788656769	3.885780586188048e-19	True	True
gse162632	cap48	primary	17	4	root_04	1000	1	S_to_M	TW	-0.337430568743985	-0.337430568743985	-1.7208456881689926e-18	True	True
gse162632	cap48	primary	17	4	root_04	1000	1	S_to_M	PCA	-0.3371037820725949	-0.3371037820725949	3.3306690738754697e-19	True	True
gse162632	cap48	primary	17	4	root_04	1000	1	S_to_M	RBF	-0.3374533567054901	-0.3374533567054901	-7.771561172376096e-19	True	True
gse162632	cap48	primary	17	4	root_04	1000	1	S_to_M	scGen	-0.12454953911746099	-0.12454953911851986	-1.0588907528585877e-12	False	False
gse162632	cap48	primary	17	4	root_04	1000	1	S_to_M	CPA	-0.35402913581946827	-0.35402913582177753	-2.309721747195681e-12	False	False
gse162632	cap48	primary	17	4	root_04	1000	1	S_to_M	CellOT	-0.13215916030047953	-0.1321591603076616	-7.182042460751603e-12	False	False
gse162632	cap48	primary	17	4	root_05	1000	1	D_to_O	NC	-0.4223345344623108	-0.4223345344623108	-4.052314039881821e-18	True	True
gse162632	cap48	primary	17	4	root_05	1000	1	D_to_O	CM	-0.35616922864311845	-0.35616922864311845	-1.2212453270876721e-18	True	True
gse162632	cap48	primary	17	4	root_05	1000	1	D_to_O	TW	-0.35594651980772035	-0.35594651980772035	-9.992007221626408e-19	True	True
gse162632	cap48	primary	17	4	root_05	1000	1	D_to_O	PCA	-0.3558247648710167	-0.3558247648710167	-1.7763568394002505e-18	True	True
gse162632	cap48	primary	17	4	root_05	1000	1	D_to_O	RBF	-0.35578984186639345	-0.35578984186639345	-1.2212453270876721e-18	True	True
gse162632	cap48	primary	17	4	root_05	1000	1	D_to_O	scGen	-0.610029827055874	-0.5889658473258014	0.021063979730072714	False	False
gse162632	cap48	primary	17	4	root_05	1000	1	D_to_O	CPA	-0.868427230523255	-0.8549675949587869	0.01345963556446811	False	False
gse162632	cap48	primary	17	4	root_05	1000	1	D_to_O	CellOT	-0.6209038674080574	-0.5980883708017505	0.022815496606307172	False	False
gse162632	cap48	primary	17	4	root_05	1000	1	D_to_P	NC	-0.4223345344623108	-0.4223345344623108	0.0	True	True
gse162632	cap48	primary	17	4	root_05	1000	1	D_to_P	CM	-0.35616922864311845	-0.35616922864311845	0.0	True	True
gse162632	cap48	primary	17	4	root_05	1000	1	D_to_P	TW	-0.35594651980772035	-0.35594651980772035	0.0	True	True
gse162632	cap48	primary	17	4	root_05	1000	1	D_to_P	PCA	-0.3558247648710167	-0.3558247648710167	0.0	True	True
gse162632	cap48	primary	17	4	root_05	1000	1	D_to_P	RBF	-0.35578984186639345	-0.35578984186639345	0.0	True	True
gse162632	cap48	primary	17	4	root_05	1000	1	D_to_P	scGen	-0.610029827055874	-0.6310938067935205	-0.021063979737647474	False	False
gse162632	cap48	primary	17	4	root_05	1000	1	D_to_P	CPA	-0.868427230523255	-0.8818868660879848	-0.013459635564730999	False	False
gse162632	cap48	primary	17	4	root_05	1000	1	D_to_P	CellOT	-0.6209038674080574	-0.6437193640042524	-0.02281549659619589	False	False
gse162632	cap48	primary	17	4	root_05	1000	1	S_to_M	NC	-0.42233453446231084	-0.4223345344623108	1.5154544286133388e-17	True	True
gse162632	cap48	primary	17	4	root_05	1000	1	S_to_M	CM	-0.35616922864311845	-0.35616922864311845	-1.7763568394002505e-18	True	True
gse162632	cap48	primary	17	4	root_05	1000	1	S_to_M	TW	-0.35594651980772035	-0.35594651980772035	-1.5543122344752192e-18	True	True
gse162632	cap48	primary	17	4	root_05	1000	1	S_to_M	PCA	-0.3558247648710167	-0.3558247648710167	-1.7763568394002505e-18	True	True
gse162632	cap48	primary	17	4	root_05	1000	1	S_to_M	RBF	-0.35578984186639345	-0.35578984186639345	-9.992007221626408e-19	True	True
gse162632	cap48	primary	17	4	root_05	1000	1	S_to_M	scGen	-0.13145139077842347	-0.1314513907719157	6.507759164886551e-12	False	False
gse162632	cap48	primary	17	4	root_05	1000	1	S_to_M	CPA	-0.38984879425669416	-0.3898487942521864	4.507556050636907e-12	False	False
gse162632	cap48	primary	17	4	root_05	1000	1	S_to_M	CellOT	-0.14232543112013543	-0.1423254311183596	1.7762046000679987e-12	False	False
gse162632	cap48	primary	17	4	root_06	1000	1	D_to_O	NC	-0.40490719162876515	-0.4049071916287651	-3.1086244689504384e-18	True	True
gse162632	cap48	primary	17	4	root_06	1000	1	D_to_O	CM	-0.4080312246171032	-0.4080312246171032	-3.608224830031759e-18	True	True
gse162632	cap48	primary	17	4	root_06	1000	1	D_to_O	TW	-0.40734566899049285	-0.40734566899049274	-3.663735981263017e-18	True	True
gse162632	cap48	primary	17	4	root_06	1000	1	D_to_O	PCA	-0.4069942744585637	-0.4069942744585637	-3.608224830031759e-18	True	True
gse162632	cap48	primary	17	4	root_06	1000	1	D_to_O	RBF	-0.4064260448904691	-0.4064260448904691	-3.7747582837255325e-18	True	True
gse162632	cap48	primary	17	4	root_06	1000	1	D_to_O	scGen	-0.6760839567196706	-0.6548712202732485	0.021212736446422333	False	False
gse162632	cap48	primary	17	4	root_06	1000	1	D_to_O	CPA	-1.0261262291639601	-1.013565104724145	0.012561124439815134	False	False
gse162632	cap48	primary	17	4	root_06	1000	1	D_to_O	CellOT	-0.68606781689259	-0.6629964462621556	0.023071370630434927	False	False
gse162632	cap48	primary	17	4	root_06	1000	1	D_to_P	NC	-0.40490719162876515	-0.40490719162876515	0.0	True	True
gse162632	cap48	primary	17	4	root_06	1000	1	D_to_P	CM	-0.4080312246171032	-0.4080312246171032	0.0	True	True
gse162632	cap48	primary	17	4	root_06	1000	1	D_to_P	TW	-0.40734566899049285	-0.40734566899049285	0.0	True	True
gse162632	cap48	primary	17	4	root_06	1000	1	D_to_P	PCA	-0.4069942744585637	-0.4069942744585637	0.0	True	True
gse162632	cap48	primary	17	4	root_06	1000	1	D_to_P	RBF	-0.4064260448904691	-0.4064260448904691	0.0	True	True
gse162632	cap48	primary	17	4	root_06	1000	1	D_to_P	scGen	-0.6760839567196706	-0.697296693159563	-0.021212736439891442	False	False
gse162632	cap48	primary	17	4	root_06	1000	1	D_to_P	CPA	-1.0261262291639601	-1.0386873535634293	-0.012561124399470077	False	False
gse162632	cap48	primary	17	4	root_06	1000	1	D_to_P	CellOT	-0.68606781689259	-0.7091391875202124	-0.023071370627622427	False	False
gse162632	cap48	primary	17	4	root_06	1000	1	S_to_M	NC	-0.40490719162876515	-0.40490719162876515	1.6486811915683574e-17	True	True
