dataset	regime	panel	seed	depth	unit	allocations	biological_roots	contrast	family	utility_before	utility_after	utility_gain	structural_input_unused	deterministic_seed_alias
gse162632	original8	primary	17	4	root_03	1000	1	S_to_M	CPA	-0.3621971105322974	-0.3621971105249	7.39747202382901e-12	False	False
gse162632	original8	primary	17	4	root_03	1000	1	S_to_M	CellOT	-0.13427972295323648	-0.134279722953474	-2.3757082412423357e-13	False	False
gse162632	original8	primary	17	4	root_04	1000	1	D_to_O	NC	-0.41770653454901846	-0.41770653454901846	-5.273559366969494e-18	True	True
gse162632	original8	primary	17	4	root_04	1000	1	D_to_O	CM	-0.34136805025806466	-0.34136805025806466	-1.1102230246251566e-18	True	True
gse162632	original8	primary	17	4	root_04	1000	1	D_to_O	TW	-0.341336918447409	-0.341336918447409	-6.106226635438361e-19	True	True
gse162632	original8	primary	17	4	root_04	1000	1	D_to_O	PCA	-0.34009855939451883	-0.34009855939451883	0.0	True	True
gse162632	original8	primary	17	4	root_04	1000	1	D_to_O	RBF	-0.34110610184273643	-0.34110610184273643	-1.3322676295501879e-18	True	True
gse162632	original8	primary	17	4	root_04	1000	1	D_to_O	scGen	-0.571707515229462	-0.5613594624858187	0.010348052743642942	False	False
gse162632	original8	primary	17	4	root_04	1000	1	D_to_O	CPA	-0.8198951809183518	-0.8124479913703082	0.007447189548043215	False	False
gse162632	original8	primary	17	4	root_04	1000	1	D_to_O	CellOT	-0.5808774331628322	-0.56744492114278	0.013432512020052795	False	False
gse162632	original8	primary	17	4	root_04	1000	1	D_to_P	NC	-0.41770653454901846	-0.41770653454901846	0.0	True	True
gse162632	original8	primary	17	4	root_04	1000	1	D_to_P	CM	-0.34136805025806466	-0.34136805025806466	0.0	True	True
gse162632	original8	primary	17	4	root_04	1000	1	D_to_P	TW	-0.341336918447409	-0.341336918447409	0.0	True	True
gse162632	original8	primary	17	4	root_04	1000	1	D_to_P	PCA	-0.34009855939451883	-0.34009855939451883	0.0	True	True
gse162632	original8	primary	17	4	root_04	1000	1	D_to_P	RBF	-0.34110610184273643	-0.34110610184273643	0.0	True	True
gse162632	original8	primary	17	4	root_04	1000	1	D_to_P	scGen	-0.571707515229462	-0.5820555679709464	-0.010348052741484386	False	False
gse162632	original8	primary	17	4	root_04	1000	1	D_to_P	CPA	-0.8198951809183518	-0.8273423704579811	-0.007447189539629713	False	False
gse162632	original8	primary	17	4	root_04	1000	1	D_to_P	CellOT	-0.5808774331628322	-0.5943099451810043	-0.013432512018171097	False	False
gse162632	original8	primary	17	4	root_04	1000	1	S_to_M	NC	-0.41770653454901846	-0.41770653454901846	1.687538997430238e-17	True	True
gse162632	original8	primary	17	4	root_04	1000	1	S_to_M	CM	-0.3413680502580647	-0.34136805025806466	-1.8318679906315084e-18	True	True
gse162632	original8	primary	17	4	root_04	1000	1	S_to_M	TW	-0.341336918447409	-0.341336918447409	-1.7208456881689926e-18	True	True
