depth_per_gemgroup	cells_per_reference	model	pattern	mean	allocation_min	allocation_max
135	1080	additive	D	0.0280166618584415	0.027889682034660402	0.02822705038539438
135	1080	compositional_ridge	S	0.025403931071276635	0.025403931071276635	0.025403931071276635
135	1080	compositional_ridge	M	0.025403931071276635	0.025403931071276635	0.025403931071276635
135	1080	compositional_ridge	P	0.027225425793516184	0.027098445969735086	0.027435814320469064
135	1080	compositional_ridge	O	0.027225425793516184	0.027098445969735086	0.027435814320469064
135	1080	compositional_ridge	D	0.027225425793516184	0.027098445969735086	0.027435814320469064
135	1080	CPA_0.8.8	S	0.073825672494266872	0.073272494369383961	0.074285348220718042
135	1080	CPA_0.8.8	M	0.073825672494266872	0.073272494369383948	0.074285348220718056
135	1080	CPA_0.8.8	P	0.07583467078089591	0.075163097094700995	0.076401321928804777
135	1080	CPA_0.8.8	O	0.075459663652116926	0.074926254490329414	0.075861407157141597
135	1080	CPA_0.8.8	D	0.075647167216506411	0.075044675792515184	0.076131364542973187
135	1080	zero_effect	S	0.10321169051557444	0.102567922411659	0.10377728402331596
135	1080	zero_effect	M	0.10321169051557443	0.102567922411659	0.10377728402331596
135	1080	zero_effect	P	0.10321169051557443	0.102567922411659	0.10377728402331596
135	1080	zero_effect	O	0.10321169051557443	0.102567922411659	0.10377728402331596
135	1080	zero_effect	D	0.10321169051557443	0.102567922411659	0.10377728402331596
8	64	direct_effect_ridge	S	0.036761218126020005	0.0355303207830086	0.037715702672953148
8	64	direct_effect_ridge	M	0.036761218126020005	0.0355303207830086	0.037715702672953148
8	64	direct_effect_ridge	P	0.036761218126020005	0.0355303207830086	0.037715702672953148
8	64	direct_effect_ridge	O	0.036761218126020005	0.0355303207830086	0.037715702672953148
8	64	direct_effect_ridge	D	0.036761218126020005	0.0355303207830086	0.037715702672953148
16	128	direct_effect_ridge	S	0.029016597034167247	0.028420743647246435	0.029594656910770286
16	128	direct_effect_ridge	M	0.029016597034167247	0.028420743647246435	0.029594656910770289
16	128	direct_effect_ridge	P	0.029016597034167247	0.028420743647246435	0.029594656910770289
16	128	direct_effect_ridge	O	0.029016597034167247	0.028420743647246435	0.029594656910770289
16	128	direct_effect_ridge	D	0.029016597034167247	0.028420743647246435	0.029594656910770289
32	256	direct_effect_ridge	S	0.02527927915981806	0.02488232626175713	0.025858639473587602
32	256	direct_effect_ridge	M	0.02527927915981806	0.02488232626175713	0.025858639473587602
32	256	direct_effect_ridge	P	0.02527927915981806	0.02488232626175713	0.025858639473587602
32	256	direct_effect_ridge	O	0.02527927915981806	0.02488232626175713	0.025858639473587602
32	256	direct_effect_ridge	D	0.02527927915981806	0.02488232626175713	0.025858639473587602
