allocation	depth_per_gemgroup	cells_per_reference	pattern	reversed_task_pairs	eligible_task_pairs
12	128	1024	D	0	165
13	128	1024	D	0	165
14	128	1024	D	0	165
15	128	1024	D	0	165
16	128	1024	D	0	165
17	128	1024	D	0	165
18	128	1024	D	0	165
19	128	1024	D	0	165
20	128	1024	D	0	165
21	128	1024	D	0	165
22	128	1024	D	0	165
23	128	1024	D	0	165
24	128	1024	D	0	165
25	128	1024	D	0	165
26	128	1024	D	0	165
27	128	1024	D	0	165
28	128	1024	D	0	165
29	128	1024	D	0	165
0	135	1080	S	0	165
1	135	1080	S	0	165
2	135	1080	S	0	165
3	135	1080	S	0	165
4	135	1080	S	0	165
5	135	1080	S	0	165
6	135	1080	S	0	165
7	135	1080	S	0	165
8	135	1080	S	0	165
9	135	1080	S	0	165
10	135	1080	S	0	165
11	135	1080	S	0	165
12	135	1080	S	0	165
13	135	1080	S	0	165
14	135	1080	S	0	165
15	135	1080	S	0	165
16	135	1080	S	0	165
17	135	1080	S	0	165
18	135	1080	S	0	165
19	135	1080	S	0	165
20	135	1080	S	0	165
21	135	1080	S	0	165
22	135	1080	S	0	165
23	135	1080	S	0	165
24	135	1080	S	0	165
25	135	1080	S	0	165
26	135	1080	S	0	165
27	135	1080	S	0	165
28	135	1080	S	0	165
29	135	1080	S	0	165
0	135	1080	M	0	165
1	135	1080	M	0	165
2	135	1080	M	0	165
3	135	1080	M	0	165
4	135	1080	M	0	165
5	135	1080	M	0	165
6	135	1080	M	0	165
7	135	1080	M	0	165
8	135	1080	M	0	165
9	135	1080	M	0	165
10	135	1080	M	0	165
11	135	1080	M	0	165
12	135	1080	M	0	165
13	135	1080	M	0	165
14	135	1080	M	0	165
15	135	1080	M	0	165
16	135	1080	M	0	165
17	135	1080	M	0	165
18	135	1080	M	0	165
19	135	1080	M	0	165
20	135	1080	M	0	165
21	135	1080	M	0	165
22	135	1080	M	0	165
23	135	1080	M	0	165
24	135	1080	M	0	165
25	135	1080	M	0	165
26	135	1080	M	0	165
27	135	1080	M	0	165
28	135	1080	M	0	165
29	135	1080	M	0	165
0	135	1080	P	0	165
1	135	1080	P	0	165
2	135	1080	P	0	165
3	135	1080	P	0	165
4	135	1080	P	0	165
5	135	1080	P	0	165
6	135	1080	P	0	165
7	135	1080	P	0	165
8	135	1080	P	0	165
9	135	1080	P	0	165
10	135	1080	P	0	165
11	135	1080	P	0	165
12	135	1080	P	0	165
13	135	1080	P	0	165
14	135	1080	P	0	165
15	135	1080	P	0	165
16	135	1080	P	0	165
17	135	1080	P	0	165
18	135	1080	P	0	165
19	135	1080	P	0	165
20	135	1080	P	0	165
21	135	1080	P	1	165
22	135	1080	P	0	165
23	135	1080	P	0	165
24	135	1080	P	0	165
25	135	1080	P	1	165
26	135	1080	P	0	165
27	135	1080	P	0	165
28	135	1080	P	0	165
29	135	1080	P	0	165
0	135	1080	O	1	165
1	135	1080	O	1	165
2	135	1080	O	1	165
3	135	1080	O	1	165
4	135	1080	O	1	165
5	135	1080	O	1	165
6	135	1080	O	1	165
7	135	1080	O	1	165
8	135	1080	O	1	165
9	135	1080	O	1	165
10	135	1080	O	1	165
11	135	1080	O	1	165
12	135	1080	O	1	165
13	135	1080	O	1	165
14	135	1080	O	1	165
15	135	1080	O	1	165
16	135	1080	O	1	165
17	135	1080	O	1	165
18	135	1080	O	1	165
19	135	1080	O	1	165
20	135	1080	O	0	165
21	135	1080	O	0	165
22	135	1080	O	1	165
23	135	1080	O	1	165
24	135	1080	O	1	165
25	135	1080	O	0	165
26	135	1080	O	1	165
27	135	1080	O	1	165
28	135	1080	O	1	165
29	135	1080	O	1	165
0	135	1080	D	0	165
1	135	1080	D	0	165
2	135	1080	D	0	165
3	135	1080	D	0	165
4	135	1080	D	0	165
5	135	1080	D	0	165
6	135	1080	D	0	165
7	135	1080	D	0	165
8	135	1080	D	0	165
9	135	1080	D	0	165
10	135	1080	D	0	165
11	135	1080	D	0	165
12	135	1080	D	0	165
13	135	1080	D	0	165
14	135	1080	D	0	165
15	135	1080	D	0	165
16	135	1080	D	0	165
17	135	1080	D	0	165
18	135	1080	D	0	165
19	135	1080	D	0	165
20	135	1080	D	0	165
21	135	1080	D	0	165
22	135	1080	D	0	165
23	135	1080	D	0	165
24	135	1080	D	0	165
25	135	1080	D	0	165
26	135	1080	D	0	165
27	135	1080	D	0	165
28	135	1080	D	0	165
29	135	1080	D	0	165
