allocation	depth_per_gemgroup	cells_per_reference	model	pattern	scaled_squared_error
3	8	64	CPA_0.8.8	M	0.080014864718096629
3	8	64	CPA_0.8.8	P	0.11344019392832538
3	8	64	CPA_0.8.8	O	0.10694298469221666
3	8	64	CPA_0.8.8	D	0.11019158931027108
3	8	64	zero_effect	S	0.12283104605356325
3	8	64	zero_effect	M	0.12283104605356325
3	8	64	zero_effect	P	0.12283104605356325
3	8	64	zero_effect	O	0.12283104605356325
3	8	64	zero_effect	D	0.12283104605356325
3	16	128	additive	S	0.026195167136201958
3	16	128	additive	M	0.026195167136201958
3	16	128	additive	P	0.041875869312421495
3	16	128	additive	O	0.041875869312421495
3	16	128	additive	D	0.041875869312421495
3	16	128	compositional_ridge	S	0.025403931071276635
3	16	128	compositional_ridge	M	0.025403931071276635
3	16	128	compositional_ridge	P	0.041084633247496172
3	16	128	compositional_ridge	O	0.041084633247496172
3	16	128	compositional_ridge	D	0.041084633247496172
3	16	128	CPA_0.8.8	S	0.074260980724734929
3	16	128	CPA_0.8.8	M	0.074260980724734929
3	16	128	CPA_0.8.8	P	0.091280080507232284
3	16	128	CPA_0.8.8	O	0.088603285294676593
3	16	128	CPA_0.8.8	D	0.089941682900954473
3	16	128	zero_effect	S	0.11037886120403212
3	16	128	zero_effect	M	0.11037886120403212
3	16	128	zero_effect	P	0.11037886120403212
3	16	128	zero_effect	O	0.11037886120403212
3	16	128	zero_effect	D	0.11037886120403212
3	32	256	additive	S	0.026195167136201958
3	32	256	additive	M	0.026195167136201958
3	32	256	additive	P	0.034196954283321583
3	32	256	additive	O	0.034196954283321583
3	32	256	additive	D	0.034196954283321583
3	32	256	compositional_ridge	S	0.025403931071276635
3	32	256	compositional_ridge	M	0.025403931071276635
3	32	256	compositional_ridge	P	0.033405718218396253
3	32	256	compositional_ridge	O	0.033405718218396253
3	32	256	compositional_ridge	D	0.033405718218396253
3	32	256	CPA_0.8.8	S	0.07550934956298011
3	32	256	CPA_0.8.8	M	0.075509349562980124
