depth_per_gemgroup	model	pattern	mean_utility	allocation_min_utility	allocation_max_utility
64	zero_effect	P	-0.10416566998074095	-0.10790309054873151	-0.10252134725090012
64	zero_effect	O	-0.10416566998074095	-0.10790309054873151	-0.10252134725090012
64	zero_effect	D	-0.10416566998074095	-0.10790309054873151	-0.10252134725090012
128	additive	S	-0.026195167136201958	-0.026195167136201958	-0.026195167136201958
128	additive	M	-0.026195167136201958	-0.026195167136201958	-0.026195167136201958
128	additive	P	-0.028112564795395263	-0.028354995313651744	-0.027981185867986303
128	additive	O	-0.028112564795395263	-0.028354995313651744	-0.027981185867986303
128	additive	D	-0.028112564795395263	-0.028354995313651744	-0.027981185867986303
128	compositional_ridge	S	-0.025403931071276625	-0.025403931071276635	-0.025403931071276635
128	compositional_ridge	M	-0.025403931071276625	-0.025403931071276635	-0.025403931071276635
128	compositional_ridge	P	-0.027321328730469947	-0.027563759248726415	-0.027189949803060998
128	compositional_ridge	O	-0.027321328730469947	-0.027563759248726415	-0.027189949803060998
128	compositional_ridge	D	-0.027321328730469947	-0.027563759248726415	-0.027189949803060998
128	CPA_0.8.8	S	-0.07390979488926196	-0.074722149294207	-0.07300265911379655
128	CPA_0.8.8	M	-0.07390979488926196	-0.074722149294207	-0.07300265911379655
128	CPA_0.8.8	P	-0.07602177732423093	-0.07693194520543226	-0.07514860493517694
128	CPA_0.8.8	O	-0.07563260777267959	-0.07638018923604398	-0.07471187259178678
128	CPA_0.8.8	D	-0.07582719254845526	-0.07665606722073813	-0.07493023876348186
128	zero_effect	S	-0.10337293805400868	-0.10432719372603638	-0.10226445598301483
128	zero_effect	M	-0.10337293805400868	-0.10432719372603638	-0.10226445598301483
128	zero_effect	P	-0.10337293805400868	-0.10432719372603638	-0.10226445598301483
128	zero_effect	O	-0.10337293805400868	-0.10432719372603638	-0.10226445598301483
128	zero_effect	D	-0.10337293805400868	-0.10432719372603638	-0.10226445598301483
135	additive	S	-0.026195167136201958	-0.026195167136201958	-0.026195167136201958
135	additive	M	-0.026195167136201958	-0.026195167136201958	-0.026195167136201958
135	additive	P	-0.028016661858441497	-0.02822705038539438	-0.027889682034660402
135	additive	O	-0.028016661858441497	-0.02822705038539438	-0.027889682034660402
135	additive	D	-0.028016661858441497	-0.02822705038539438	-0.027889682034660402
135	compositional_ridge	S	-0.025403931071276625	-0.025403931071276635	-0.025403931071276635
135	compositional_ridge	M	-0.025403931071276625	-0.025403931071276635	-0.025403931071276635
135	compositional_ridge	P	-0.02722542579351618	-0.027435814320469064	-0.027098445969735086
135	compositional_ridge	O	-0.02722542579351618	-0.027435814320469064	-0.027098445969735086
135	compositional_ridge	D	-0.02722542579351618	-0.027435814320469064	-0.027098445969735086
135	CPA_0.8.8	S	-0.07382567249426687	-0.07428534822071804	-0.07327249436938396
135	CPA_0.8.8	M	-0.07382567249426687	-0.07428534822071806	-0.07327249436938395
135	CPA_0.8.8	P	-0.07583467078089591	-0.07640132192880478	-0.075163097094701
135	CPA_0.8.8	O	-0.07545966365211694	-0.0758614071571416	-0.07492625449032941
135	CPA_0.8.8	D	-0.07564716721650641	-0.07613136454297319	-0.07504467579251518
135	zero_effect	S	-0.10321169051557444	-0.10377728402331596	-0.102567922411659
135	zero_effect	M	-0.10321169051557444	-0.10377728402331596	-0.102567922411659
135	zero_effect	P	-0.10321169051557444	-0.10377728402331596	-0.102567922411659
135	zero_effect	O	-0.10321169051557444	-0.10377728402331596	-0.102567922411659
135	zero_effect	D	-0.10321169051557444	-0.10377728402331596	-0.102567922411659
