depth_per_gemgroup	model_a	model_b	pair_role	pattern	S_margin	margin	displacement	allocation_min_margin	allocation_max_margin	crossing_allocation_count	n_allocations	strict_crossing_after_task_and_allocation_means
16	compositional_ridge	CPA_0.8.8	primary_state_pair	O	0.049724919047598036	0.04811522386767594	-0.0016096951799221017	0.04383362568812425	0.05478103419557481	0	30	False
16	compositional_ridge	CPA_0.8.8	primary_state_pair	D	0.049724919047598036	0.04972491904759803	-6.0137080500529315e-18	0.046091209724763896	0.056158091137417446	0	30	False
16	compositional_ridge	zero_effect	zero_effect_diagnostic	S	0.08536143796199852	0.08536143796199852	0.0	0.08085108369881164	0.09296987146210686	0	30	False
16	compositional_ridge	zero_effect	zero_effect_diagnostic	M	0.08536143796199852	0.08536143796199852	0.0	0.08085108369881164	0.09296987146210686	0	30	False
16	compositional_ridge	zero_effect	zero_effect_diagnostic	P	0.08536143796199852	0.0700206152658809	-0.015340822696117641	0.06474533132036313	0.07818274719272736	0	30	False
16	compositional_ridge	zero_effect	zero_effect_diagnostic	O	0.08536143796199852	0.0700206152658809	-0.015340822696117641	0.06474533132036313	0.07818274719272736	0	30	False
16	compositional_ridge	zero_effect	zero_effect_diagnostic	D	0.08536143796199852	0.0700206152658809	-0.015340822696117641	0.06474533132036313	0.07818274719272736	0	30	False
16	CPA_0.8.8	zero_effect	zero_effect_diagnostic	S	0.03563651891440049	0.03563651891440049	0.0	0.03447130157087529	0.036948727359565225	0	30	False
16	CPA_0.8.8	zero_effect	zero_effect_diagnostic	M	0.03563651891440049	0.03563651891440049	4.625929269271486e-19	0.03447130157087529	0.03694872735956527	0	30	False
16	CPA_0.8.8	zero_effect	zero_effect_diagnostic	P	0.03563651891440049	0.018686001038360763	-0.016950517876039736	0.016396537558959604	0.020729127259608723	0	30	False
16	CPA_0.8.8	zero_effect	zero_effect_diagnostic	O	0.03563651891440049	0.02190539139820496	-0.01373112751619554	0.020224606271953646	0.023401712997152546	0	30	False
16	CPA_0.8.8	zero_effect	zero_effect_diagnostic	D	0.03563651891440049	0.020295696218282862	-0.015340822696117636	0.018654121595599232	0.022024656055309913	0	30	False
32	additive	compositional_ridge	primary_state_pair	S	-0.0007912360649253228	-0.0007912360649253228	0.0	-0.0007912360649253228	-0.0007912360649253228	0	30	False
32	additive	compositional_ridge	primary_state_pair	M	-0.0007912360649253228	-0.0007912360649253228	0.0	-0.0007912360649253228	-0.0007912360649253228	0	30	False
32	additive	compositional_ridge	primary_state_pair	P	-0.0007912360649253228	-0.0007912360649253221	6.938893903907229e-19	-0.0007912360649253436	-0.0007912360649252881	0	30	False
32	additive	compositional_ridge	primary_state_pair	O	-0.0007912360649253228	-0.0007912360649253221	6.938893903907229e-19	-0.0007912360649253436	-0.0007912360649252881	0	30	False
